no,ulasan,GT
2938,"
Tempatnya bagus dengan fasilitas yang lengkap. Musholla ada, kamar mandi bersih, suasana nyaman, stop kontak berlimpah, parkiran luas dan aman dari panas dan hujan. Sayangnya kecepatan jaringan wifinya kurang",D
2939,"
Tempat nyaman, parkiran luas, harga dari keseluruhan menunya juga standart untuk mahasiswa, banyak bangkunya, ada wifi, toilet, mushola, cocok untuk ngerjain tugas atau nongkrong, ada ruangan buat duduk duduk di beanbag juga. Worth it!",D
2940,"
Tempak paling cocok untuk santai sambil ngerjain tugas",D
2941,"
Tempat luas, bersih, nyaman, harga terjangkau.",D
2942,"
Tempatnya luas, harga standardlah. Parkiranya juga luas. Ada tempat buat santai dan nugas. Toiletnya bersih juga. Untuk harga bervariasi, kalau menurut saya harga cafe pada umumnya.",D
2943,"
Nyaman untuk mengerjakan tugas",D
2944,"
Tempat nongkrong yg asyik..ðŸ‘",D
2945,"
Beh ini mantap",D
2946,"
Nyaman dan murah",D
2947,"
Nyaman",D
2948,"
Tempat yang bagus dan harga terjangkau",D
2949,"
Tempat nyaman, pelayanan baik, harga terjangkau",D
2950,"
Tempat yang nyaman untuk nugas dan nongkrong. Harga minuman dan makanan cukup terjangkau. Tersedia toilet dan mushola yg bersih. Tempat parkir luas dan tdk dipungut biaya. Disarankan kalau mau nugas di sini datangnya agak pagi, krn kalau siang menjelang sore pengunjung semakin ramai. Beberapa pengunjung yg merokok di lt. 2 sangat mengganggu. Selain itu, bbrp pengendara mengunci stang motor shg motor kami sulit dikeluarkan, padahal sdh tertulis jelas kalau tdk perlu kunci stang.",D
2951,"
Nyaman bgt buat nugas, cozy",D
2952,"
Tempatnya nyaman sekali, cocok buat mahasiswa nugas. Ada ruangan khusus untuk rapat, bisa booking dulu. Harganya juga terjangkau sekali. Tersedia toilet, mushola.",D
2953,"
Bagus dan harga standar",D
2954,"
Pelayanan buruk, pesanan lama datang....
Tolong diperbaiki untuk pelayanan dan kecepatan untuk pesanan costumer.....",TD
2955,"
Nyaman banget yang bagian dalam. Stop kontak nya juga banyak. Nugas ga bosen2 disitu",D
2956,"
Tempat sangat comfy dan bagus untuk acara kumpul bersama teman untuk sekedar diskusi ataupun sendiri mengerjakan tugas-tugas. Terdapat tempat outdoor di lt 3 dan ada ruangan dengan bean bag yg tertutup",D
2957,"
Tempat nya nyaman, ad area lesehan sama kursi biasa, nyaman banget buat nugas atau kumpul2 sama temen2 untuk harga minuman dan makanan standart cafe2 perkotaan antara 9-15an",D
2958,"
Bagus",D
2959,"
Bagi temen"" yg mau rapat organisasi dll, menyenderi juga enak tempatnya nyaman agak sepi juga,menunya juga enak harga pas",D
2960,"
Bagusss",D
2961,"
Cocok untuk mengerjakan tugas.
Fasilitas musholah, kamar mandi, parkir sepeda motor, colokan, wifi, tempatnya nyaman.",D
2962,"
Alfath Co.working terdiri dari 3 lantai.
Lt.1-2, room yang sangat cocok dan nyaman untuk mengerjakan project, tugas kampus: skripsi, thesis; tersedia meeting room, musholla, dan tempat parkir luas. Resepsionis ramah harga terjangkau ðŸ˜Š
Lt. 3, tempat konsultasi bisnis startup, ada gadai syariah, aset.id dll

Segera kunjungi Alfath Coworking dan nikmati kenyamanannya ðŸ˜ŠðŸ˜ŽðŸ˜Š",D
2963,"
Tempat nya cozy bgt,ada mushola sama toilet nya yang bersih,soal makanan berat hanya tersedia mie,mungkin diperbanyak menu berat seperti rice box atau yang lainnya.",D
2964,"
Coworking spacenya nyaman banget!! Apalagi kalau ditemani dengan jajan dari cafeðŸ˜ðŸ˜",D
2965,"
Jos",D
2966,"
Wow",D
2967,"
Tempat yg enak untuk bekerja",D
2968,"
Cozy banget",D
2969,"
Kereen",D
2970,"
Luas dan pelayanan ramah",D
2971,"
Tempat luas dan nyaman",D
2972,"
:) bagus",D
2973,"
Cukup nyaman fan cozy",D
2974,"
recommended buat nugas, meeting, n ngopi sanskuy",D
2975,"
Estetik.
Nyaman.
Gak bising suara kendaraan.
Ada wifi.
Okelah buat kumpul2.",D
2976,"
Tempat nyaman buat nugas. Harganya kantong pelajar. Mantaaap",D
2977,"
Cozy bgr untuk nugas, kumpul organisasi atau sekedar sharing bareng temen.",D
2978,"
Tempat ngobrol asyik untuk networking bisnis ataupun buat ngerjain tugas..",D
2979,"
Bagus, nyaman dan estetik",D
2980,"
Murah dan nyaman",D
2981,"
Tempat nyaman untuk bekerja, belajar, dan meeting. Tempat parkir hanya cukup untuk parkir motor",TD
2982,"
pelayanan kurang memuaskan, dari pihak terkait, tidak sesuai dengan kesepakatan yang sudah di sepakati oleh pihat terkait, karyawan mau pun owner tidak memberikn kompensasi apapun..SMG lbh baik lagi ...",TD
2983,"
pelayanan kurang bagus, tidak sesuai kesepakan yg sudah di sepakati oleh salah satu pihak terkait kafe tersebut, semoga lebih baik lagi..",TD
2984,"
pelayanan tidak sesuai dengan kesepakatan di awal, dan tidak diberikan kompensasi",TD
2985,"
Mendapatkan pelayanan kurang maksimal, sudah booking tempat dengan negosiasi yg sudah disepakati sebelumnya dengan pihak terkait. Namun saat hari H apa yang kami dapatkan tidak sesuai dengan negosiasi yang telah disepakati sebelumnya, dan pihak terkait juga owner tidak memberikan kompensasi apapun dengan permasalahan yang ada.",TD
2986,"
Mohon untuk pelayanan atau service di perbaiki lagi, agar tidak terjadi slaah paham kembali mengenai pemakaian tempat, harus sesuai dengan yang sudah di sepakati, BUKAN MASALAH NOMINALNYA tapi masalah negosiasi KARYAWAN terkait mengiyakan kesepakatan pemakian tempat kafe tersebut, namun tidak sesuai dengan yang sudah di sepakati, dan yang bersangkutan tdk mau bertanggung jawab atau dan memberikan kompensasi, begitu juga owner tempat terkait, sungguh kami kecewa dengan pelyanannya, terimakasih semoga lebih baik lagi..",TD
2987,"
pelayanan kurang maksimal, pelayanan yg kami dapatkan tidak sesuai dengan negosiasi yg telah disepakati dan owner tidak memberikan kompensasi apapun atas permasalahan yg ada.",TD
2988,"
pelayanan kurang maksimal, tidak seduai dengan apa yg sudah disepakati.",TD
2989,"
Tempatnya nyaman ðŸ’™",D
2990,"
Tempat nongkrong yg asik sekaligus bisa membangun relasi baru",D
2991,"
Mantap banget pokoknya, dengan view yang indah banget ðŸ˜Ž",D
2992,"
Tempat nyaman kan istragamebel banget cocok buat yg remajaÂ². Dan tempat untuk rapat/metingroom nya juga nyaman banget dengan fasilitas yg lengkap. Ini tempat favorit sihh menurutku",D
2993,"
Tempatnya nyaman dan tidak berisik ðŸ˜‡âœŒ",D
2994,"
Tempatnya enak buat nugas (mejanya tingginya pas), anginnya sejuk, aestetik jelas. Menunya juga terjangkau, jadi misal pesen dua kali ga bolongin dompet.",D
2995,"
Tempat nya bagus dan enak buat nongkrong atau ngerjain tugas, minuman nya juga enak, harganya standar seperti pada cafe umumnya. cuman sayangnya area beanbag hanya bisa di pakai meeting dan setiap kesana keseringan kosong akhirnya tidak terpakai, mungkin saran saya kalo memang tidak ada ada kegiatan meeting di perbolehkan untuk di pakai, sekalian sebagai area non smoking, karena area non smoking nya hanya kecil di bawah",D
2996,"
Tempatnya nyaman untuk mengerjakan tugas. Harga makanan dan minuman standar seperti cafe pada umumnya. Tempat yg luas buat co-working space ada di lantai 2. Tata ruangnya estetik juga cocok untuk foto-foto. Ada mushollanya juga tapi krn alasnya pakai rumput sintetis jadi agak sakit.",D
2997,"
Akses mudah, tempatnya nyaman, sangat cocok untuk pekerja freelance. Banyak colokan di mana mana",D
2998,"
Tempatnya nyaman buat ngopi"", dekat taman merjosari, dan yg terpenting dekat kampus lohh.. pokoknya mantapp poll, gaas kan...ðŸ˜",D
2999,"
Tempatnya instagramable, nyaman, dan harganya terjangkau banget. Buat yang mau ngerjain tugas sambil nongki okee juga.. Pokoknya kece...",D
3000,"
mntap tempatnya luas cocok buat meetingðŸ‘",D
