no,ulasan,GT
601,"
Dekat dengan wisata batu malang",N
602,"
Sepi,",N
603,"
Bandara nya bersih dan banyak warung yang buka mesti pandemi.",D
604,Tidak ada yang salah dengan itu.. kecil dan tidak besar.. dan tidak global. Ini hanya bandara lokal..,N
605,"
Assalamualaikum mohon maaf apakah dibandara abdulrachman saleh membuka lowongan untuk sekarang ini...??ðŸ™ðŸ™",N
606,"
penjaganya batu2 semua pilih kasih sama rakyat, lebih mementingkan pejabat",TD
607,"
Terutama di tempat post b4t1k, hari ini keponakan saya gagal terbang, karena harus pcr. keponakan saya udh antigen di klinik rekomendasi dri b4t1k. Tidak diberi informasi kalau harus pcr oleh kliniknya. Lalu ada ajudan check in di post dan ada anak kecil yg di antigen, boleh masuk. Giliran pejabat di bolehin rakyat biasa tidak boleh terbang. tidak diganti tiketnya. malah salah2han.",TD
608,"
Malang punya",N
609,"
Mungkin bandara Malang adalah bandara terjelek :
1. Rambu pengarah masih minim
2. Kotor dan terkesan tidak terawat
3. Fasilitas umum juga apa adanya",TD
610,"
Kalau baru turun pesawat, toilet harus antri panjang",TD
611,"
Tempatnya nyaman petugas juga ramah.
Dalam segi keamanan insya Alloh amanah.",D
612,"
Fasilitas umum agar diperbaiki dan dijaga kebersihannya",TD
613,"
Bandaranya kecil",N
614,"
nyaman juga,hening dan tidak bising",D
615,"
Instalasi vms dan peduli lindungi",N
616,"
Mantab",D
617,"
Bandar udara nya tidak terlalu besar..
Tetapi cukup nyaman untuk menunggu penerbangan..
Mungkin kedepannya Kamar Mandi dapat ditambah juga jumlah nya
.",D
618,"
Semoga bangkit kembali penerbangan Indonesia ðŸ˜­",D
619,"
Mantap djiwa",D
620,"
Ramah dan bersih",D
621,"
Bandara paling bersahaja se-Pulau Jawa. Hihihihi",D
622,"
Tertib karena ada background militer tapi tetap hunanis/tidak terkesan kaku...WELLDONE!!!",D
623,"
sepi...hanya 1 penerbangan dr Jakarta, pulangnya pun hanya 1 penerbangan...ga bisa kalo mau ngejar kerjaan ðŸ˜Š",TD
624,"
Bandara Malang",N
