no,ulasan,GT
2740,"
Keren, bersih nyaman, wifi",D
2741,"
mantap , tempatnya enak ,wifi kenceng ,cocok",D
2742,"
Nyaman dan luas, cocok buat yang mau mengadakan event online / sekedar berkumpul.",D
2743,"
nyaman banget! bersih, dingin, recommended!",D
2744,"
Keren banget",D
2745,"
Tempatnya bagus bersih nyaman",D
2746,"
Tempat nyaman, bersih, adem, fasilitas lengkap, snack dan minuman tersedia biar lebih mantap bekerjanya.",D
2747,"
bagus",D
2748,"
Tempatnya enak tenan gan, koneksi jga lancar serta ada private room buat meeting",D
2749,"
tempatnya enak dan nyaman",D
2750,"
Tempatnya nyaman dan luas, recommended ðŸ‘ðŸ»",D
2751,"
Wifi lancar, nyaman bat, recomended deh...",D
2752,"
Tempatnya nyaman",D
2753,"
Mantap, dingin. Bersih",D
2754,"
co working nya nyaman banget, dingin harum, dam kedap suara. tempat kerja nya juga bagus dan nyaman",D
2755,"
Great! wifinya kenceng",D
2756,"
Tempat nyaman dan bersih, wifi tidak lemot meskipun digunakan banyak orang",D
2757,"
Tempatnya nyaman, enak untuk kuliah maupun kerja. Ada cafe juga untuk makan dan minum kalau lapar atau haus.",D
2758,"
Tempatnya nyaman, luas, dan wifi lancar",D
2759,"
tempat cozy dan cocok untuk meeting",D
2760,"
tempatnya nyaman dan bersih, pelayanannya juga oke banget!!!",D
2761,"
mantab, free, nyaman ..cocok buat kumpul",D
2762,"
Mantap",D
2763,"
nyaman banget buat nugas, adem, internet lancar jaya, toilet bersih, reccomended!",D
2764,"
Solusi WFH dengan budget minim. Free coworking space. Petugas ramah & lingkungan kondusif.",D
2765,"
Tempat e keren banget. Nyaman. Enak buat belajar yang pake internet. Sangat rekomended untuk mahasiswa yang mau pake fasilitas di sini. Terimakasih",D
2766,"
Tempat bagus menyenangkan, WiFi lancar, cocok buat meeting",D
2767,"
Wifi banter, enak",D
2768,"
Bagus,nyaman dan Bermanfaat",D
2769,"
Nyaman & cozy",D
2770,"
Biasanya kalo nugas dicaffe suka terlalu ribut dan jadinya ga konsen. Tapi akhirnya aku nemuin tempat ini yang bener2 buat nugas dan ngelakuin kegiatan yang butuh konsentrasi lebih ðŸ¤—",D
2771,"
Tempatnya milenial banget cocok buat rapat skala kecil maupun besar. Jauh dari kata bising dan nyaman tentunya.",D
2772,"
Tempatnya nyaman dan recommended untuk nugas, diskusi, maupun ngadain event",D
2773,"
Co-working space yang nyaman, dengan koneksi internet yang juga mendukung.
Lokasi tempat yang cukup strategis dan deket dengan kampus, Buat teman-teman yang mau ke sini, tempatnya di bakorwil deket dengan mie gacoan. Tempat nya buka dari hari senin - sabtu.",D
2774,"
Tempat ini cocok buat segala macam kegiatan. Fasilitas yang lengkap. Ada mushola, toilet, free wifi juga, dll. Suasana adem, nyaman, dan menyenangkan. Buat kalian kalo mau ngadain eventÂ² tertentu, kurasa ini tempatnya. Cocok! Soal harga, bisa langsung ke alamat webnya atau ig. COnya ramah, menerima semua keluh kesah, dan konsultasi. Jadi tunggu apalagi, grab it!",D
2775,"
Cozy bgt buat meeting, dilengkapin kantin juga wifi",D
2776,"
cocok banget untuk bikin event yang bermanfaat, tempatnya cozy, fasilitasnya juga lengkapðŸ˜",D
2777,"
Tempatnya nyaman, bersih, dan enak banget buat dipake ngerjain sesuatu yang butuh tempat nyaman dan tentram.",D
2778,"
Tempat cocok dan sangat reccomend digunakan untuk meeting atau menyelenggarakan pelatihan, karena tempat yang nyaman, luas, serta sejuk.",D
2779,"
Co Working space yang sangat nyaman untuk melakukan meeting. Fasilitas lengkap dan pegawai yang ramah.",D
2780,"
tempat sangat nyaman dan pelayanan ramah. dan juga lengkap disiniii sarana prasarananya",D
2781,"
lokasinya mudah ditemui",D
2782,"
Tempat yang rekomendasi untuk kelompok atau orang yang butuh ruang kerja yang nyaman dan elegant, pelayanan yang ramah dan wifi nya cepet",D
2783,"
Tempat nya nyaman, bersih, serta memiliki ruang yang cukup luas dan pelayanan yang sangat ramah. Good place âœ¨",D
2784,"
Tempat yang nyaman, sarana dan prasarana yang lengkap serta pelayanan yang raman dan sesuai",D
2785,"
Sangat baik dan nyaman untuk melakukan pertemuan",D
2786,"
Tempatnya strategis, bersih, rapi dan cocok untuk kegiatan workshop, mantapp",D
2787,"
Sangat baik dan memuaskan seluruh sarana dan pelayanannya",D
2788,"
Tempat kerja kuuu ðŸ˜Š nyaman, gratis, bisa networking sama banyak temen disini, ada mushola, kamar mandi bersih. Love EJSC",D
2789,"
Tempatnya enak",D
2790,"
suasana nya enak, nyaman banget!!",D
2791,"
Nyaman dan bisa buat diri sendiri jadi lebih produktif",D
2792,"
yang bikin tenang kalo kerja tugas disini tuh musik-musiknya yang menyesuaikan dengan mood.",D
2793,"
Bagus banget!!! Tempatnya bersih dan fasilitas nya juga lengkap The best deh pokoknya",D
2794,"
Senang dengan pelayanan yg disediakan. Pengalaman ga terlupakan bisa nyoba working space disini..",D
