no,ulasan,GT
953,"
Gerejanya luas. Untuk sementara ini masih bisa melayani pendaftaran offline di lokasi, tetapi terbatas. Misa mingguan hari sabtu dan minggu pukul 5.30, 16.30 dan 18.30 Happy monday!",D
954,"
Gereja tua yang ada di jalan ijen kota malang",N
955,"
tempat peribadatan untuk umat agama kristen katolik yang iconic dan terawat dengan baik yang merupakan tempat sejarah pula karena peninggalan jaman penjajahan belanda",D
956,"
bagus gereja nya, protokol kesehatan terbaik",D
957,"
Gereja umat katolik di kota malang",N
958,"
Gereja tertua di pusat kota Malang",N
959,"
Gereja Katedral Keuskupan Malang",N
960,"
Indah",D
961,"
Gereja Katedral Malang Rindu ikut misa Disini terkahir 3 tahun yg lalu",N
962,"
Kagum saat melihat keindahannya",D
963,"
salah satu gereja tua di kota malang
strategis di jalur legendaris raya ijen",D
964,"
Tempat beribadah bagi umat Katholik dikota malang",N
965,"
Gerejanya sangat indah dn megah",D
966,"
Tempat ibadah umat Katolik peninggalan jaman Belanda",N
967,"
Tempat beribadah yang sangat nyaman, tempat parkirnya luas, tidak bising, bisa berdoa dengan kusuk",D
968,"
Bangunan tua sangat sakral...",N
969,"
Sarana ibadah umat Katolik bernuansa kolonial.",N
970,"
Tempat ber arsitektur belanda-jerman (gaya eropa) ini sangat nyaman untuk kegiatan rohani",D
971,"
Gerejanya megah, bersih... suasananya tenang, nyaman...",D
972,"
Gereja yang cukup besar dan luas serta nyaman untuk beribadah. Suasananya membuat beribadah menjadi lebih khusyuk.",D
973,"
Menyenangkan,",D
974,"
Gereja Ijen merupakan sebuah cagar budaya bernilai historis sejak 1934. Gereja ini dirancang oleh arsitek Rijksen en Estourgie. Tidak hanya bentuknya yang memiliki gaya Eropa, bahan material yang digunakan juga didatangkan langsung dari Eropa.",N
975,"
Gereja Dengan arsitektur paling keren di Malang. Masih ada bau2 klasik jaman Belanda. Dan lokasinya strategis di jalan besar Ijen.",D
976,"
Salah satu bangunan bersejarah di kota malang.. Aku suka ngetem di depannya menunggu penumpang angkotan jurusan landunhsari yang baru pulang kebaktian",D
977,"
Klau mau dftr online gimna ya?",N
978,"
Gereja Katholik terbaik di Kota Malang",N
979,"
Salah satu gereja cantik di indonesia",D
980,"
Bersih",D
981,"
Mantap",D
982,"
Lokasinya yang strategis, gedungny masih bernuasa kolonial sesuai dengan sejarah lokasinya",D
983,"
Hening tenang damai",D
984,"
Gereja yg membuat khusyuk dalam berdoa...",D
985,"
Gerejanya megah selalu takjub ketika masuk sini...",D
986,"
gereja katedral siap melaksanakan perayaan Natal dengan sistim pendaftaran online",N
987,"
Tempat teduh",D
988,"
Good

Lokasi strategis",D
989,"
Tempat iconic di jalan Idjen Boulevard",N
990,"
Misa trtap diadakan dengan tetap memperhatikan dan sesuai standar protokol kesehatan : presensi, memakai masker, jaga jarak dan cuci tangan serta memakai hand sanitizer untuk seluruh Pemimpin Misa, petugas liturgi dan umat yang hadir.",N
991,"
Susana tenang dan nyaman dengan bangunan jaman belanda yang berada di jalan ijen Malang",D
992,"
Dalam pandemi covid tentu bukan salah satu hal yang menghambat kita untuk ibadah. Ketat kok gereja ini mengutamakan protokol kesehatan tentunya. Keamanan ketat dan disediain banyak tempat untuk cuci tangan dll.",D
993,"
Nyaman buat ibadah, pelayanan kantor paroki baik dan ramah",D
994,"
Gerejanya sangat bagus, tapi untuk bagian dalamnya tidak terlalu besar",D
995,"
Hari ini gereja buka gak yah??
Tlong infonya bagi yg tau ðŸ™",N
996,"
Tempatnya pas untuk berdoa dan desain perumahan atau vila pada jaman Belanda",D
997,"
Selai bagus . Bangunan ini juga bersejarah. Pada masa kolonial Belanda",D
998,"
Di era new normal, gereja buka seperti biasa dengan mengikuti standard pencegahan penularan Covid 19. Pintu masuk lewat samping, dimana sebelum memasuki gereja, ada tahapan masuk sesuai standard dari gugus tugas. Selesai Misa keluar lewat pintu depan, karena petugas sudah bersiap di pintu samping untuk penyemprotan disintektan persiapan misa berikutnya.",D
999,"
Sipp",D
1000,"
Selamat Melayani. Tuhan Yesus memberkati.",D
1001,"
tempat istimewa",D
1002,"
Gereja tempat di mana saya melakukan pelayanan dalam bidang musik liturgi",N
1003,"
Kadang khusyuk, kadang ngantuk",N
1004,"
sangat indah. kerenn",D
1005,"
Sewaktu kuliah dan ngekos, pasti misa disini. Banyak mahasiswanya. Siapa tahu ketemu jodoh kan?
Wkwkwk",N
1006,"
Bagus",D
1007,"
Katedral baguus",D
1008,"
Gereja yang sudah berdiri lama dan menjadi pusat gereja Katolik di Malang. Dalam gereja sangat otentik.",N
