no,ulasan,GT
927,"
Kalo ada yg membutuhkan dupa lengkap didalam klenteng ada toko yg menjual dupa",D
928,"
Klenteng legend",N
929,"
Tempat ibadah",N
930,"
Bersih harum nyaman untuk ibadah",D
931,"
Datang untuk melihat melihat dan kuliner. Tempatnya adem",D
932,"
Saya bisa belajar barongsai ðŸ‘ðŸ‘ðŸ‘",D
933,"
Kantin nya boleh buat wisata kuliner. Ada rujak, cwi mie, gorengan, bakwan, dan b2. Rata2 bisa dibilang recommended",D
934,"
Mantab sungguh ðŸ‘",D
935,"
Tempatnya besar,bersih,ada 24 dewa kwan yin,kwan kong,tua pek kong,dll.di basemennta ad jajanan rujak halal ,kolak halal,mie pansit,sate babi,gohyang babi",D
936,"
Klenteng legend di Malang.",N
937,"
Klenteng terbesar di Malang, sering mengadakan acara kesenian ðŸ‘",N
938,"
Wisata religi",N
939,"
Bersih...tenang..dan damai",D
940,"
D parkiran basement nya ada foodcourt nya dan Mknannya enak2 ada yg non hala juga",D
941,"
Sate babi dan nasi goreng babi nya mantabbbb guys...",D
942,"
Vihara terbersih di kota Malang",D
943,"
silahkan kunjungi wisata religi",N
944,"
Bersejarah, heritage",N
945,"
Cwi mi, rujak, kolak, sate babi is the best!!",D
946,"
Makanannya lumayan.",D
947,"
bagus banget dan terbuka",D
948,"
Tempa ibadah tridharma",N
949,"
Namanya aslinya ribet, biasa disebut KLENTENG",N
950,"
Peaceful place, sarat sejarah",D
951,"
Besar nyaman",D
952,"
Tertua di malang",N
