no,ulasan,GT
1501,"
Berenang",N
1502,"
Tempat olahraga out door terpopuler di kota malang, dapat diakses dg mudah & murah untuk semua kalangan.",D
1503,"
Enak banget buat olahraga",D
1504,"
Midah untuk di jangkau",D
1505,"
Nyaman",D
1506,"
Bagus",D
1507,"
Pengelola parkir yang tidak profesional. Dengan ditarik biaya parkir yg mahal 5k / mobil, dengan kondisi parkir yang sangat tidak layak. RambuÂ² dan kondisi tempat parkir tidak sesuai. Perugas jaga parkir mengaku kewalahan saat pengunjung ramai. Petugas jaga di lapangan hanya 1 orang. Sangat tidak profesional",TD
1508,"
Rame, tapi sayang lapangannya terlalu becek setelah hujan",TD
1509,"
Cocok buat olahraga",D
1510,"
Tempat olahraga yg nyaman n moe kulineran banyak jg macemnya",D
1511,"
Tempat yg nyaman buat ber olga",D
1512,"
mengawali lagi jalan-jalan pagi di rampal setelah terhenti lama karena pandemi ðŸ˜ƒ",D
1513,"
Tempat yg asyik utk ngajak si kecil bermain disni",D
1514,"
Nyaman",D
1515,"
Enak dan nyaman untuk jogging",D
1516,"
Tempat olahraga yang terpadu enak bersih di dukung dengan wisata kuliner yg lengkap",D
1517,"
Tempat favorit cocok buat jogging",D
1518,"
Sejuk",D
1519,"
Nyaman, rindang hanya tempat parkir mobil yg perlu diperbaiki (becek kalo habis hujan)",TD
1520,"
tempat yg lumayan untuk kegitan olahraga di pagi hari, namun sayang areal untuk joging track sebelah Utara rusak kurangnya pemeliharaan, kondisinya cukup teduh",TD
1521,"
Tetap maju dalam smangat",D
1522,"
Mampir untuk bermain badminton",N
1523,"
bagus",D
1524,"
fasilitas olahraga yg nyaman dan aman berada dilingkungan militer",D
1525,"
Tempat olahraga yang family friendly. Banyak kursi yang bisa digunakan untuk istirahat setelah olahraga. Rekomendasi refreshing buat yang suntuk sama daily routine di kampus / tempat kerja..",D
1526,"
enak polll",D
1527,"
Fasum legkapp",D
1528,"
Enak buat olahraga",D
1529,"
Bersih tertib luas dan nyaman",D
1530,"
Nayamul,,,tlg di rapikan lagi",TD
1531,"
RTH yang nyaman, selain fasilitas olahraga dilengkapi playground juga untuk anakÂ², ada fasilitas kursi taman dan toilet. Perlu diperbaiki untuk kebersihan toilet yang sangat kurang padahal toiletnya berbayar. Lapangan parkir juga perlu diperhatikan oleh pengelola karena kalau musim penghujan sering becek dan selip.",TD
1532,"
Lengkap, luas, nyaman, ramai & ramah... Joging track, kolam renang, dll... So sweet..",D
1533,"
Sejuk pemandanganya sayang parkirnya becek",TD
1534,"
Lapangan Rampal sangat ramah buat anak2..ada merpatinya pula..",D
1535,"
Bagus banget untuk olahraga, ada kolam renang dan playground juga
Cocok buat segala umur",D
1536,"
Tempat yang nyaman utk kegiatan olahraga bersama keluarga, disediakan tempat bermain utk anak2 :)
fasilitas olahraga :
lapangan volley,
lapangan basket,
Lapangan tenis,
kolam renang,
Area joging",D
1537,"
cocok untuk bersantai bersama keluarga dan melepas lelah sejenak, lengkap fasilitasnya tempat olah raga, taman bermain dan kuliner nya banyak macamnya...mantap pokoknya hanya tempat parkir nya yg kurang memadai d hari minggu padat sekali... ðŸ‘ðŸ‘ðŸ‘",D
1538,"
Ada playground buat anak, joging trek, voli, basket, sepak bola, senam
Komplit utk sarana olahraga bersama keluarga",D
1539,"
Lapangan Rampal adalah sarana publik yang berisikan lapangan olahraga seperti basket, voli, tenis, badminton, sepakbola, dan juga kolam renang.",N
1540,"
Jossss",D
1541,"
Sip",D
1542,"
Parkiran seperti offroad... Banyak bamper mobil rusak terperosok di parkiran",TD
1543,"
Lapangan terluas dan nyaman buat olahraga",D
1544,"
Top markotop",D
1545,"
Tempat olahraga",N
