no,ulasan,GT
2899,"
enak, ada tempat sholat. lantai 2 keren, harga standar",D
2900,"
Lumayan",D
2901,"
Langganan",D
2902,"
mantap",D
2903,"
cozy banget buat rapat/nongkrong, recommended",D
2904,"
Manteps",D
2905,"
Nyaman, tenang, harga wajar",D
2906,"
Harga nya terjangkau",D
2907,"
Recommended, harganya juga tergolong murah",D
2908,"
Minumannya enak dengan harga sesuai kantong mahasiswa, ditambah tempat yang oke banget buat nongkrong atau diskusi dengan teman teman",D
2909,"
Suka banget sama matchanya, super super enakðŸ˜",D
2910,"
Mantul",D
2911,"
Tempat nyaman dan tenang, tempat parkir sangat luas seperti parkiran resto, ada banyak colokan dan koneksi wifinya cukup cepet, harga minuman standar, paling suka es kopi sama es red velvet. Makanan agak overpriced karena porsinya cukup sedikit. Waktu kesini ada promo cashback 30% bayar dengan Shopeepay.",D
2912,"
Minuman dateng luamaaa. 45 menit buat minum aja. Bad pelayanannya",TD
2913,"
santai bersih jauh dari kebisingan..bisa buat meeting intern 30 orang ada ruangan khusus ac lesehan",D
2914,"
Kopi tubruknya mantab, lain kali pengen pesan yang Tanpa gula. Suasana tenang. Ada lantain2. Yg Mau go online bisa pesan JASA bikin website di kliksaja.net cuma 500rban aja gaeesssss",D
2915,"
Tempat nyaman, parkir luas, harga ramah",D
2916,"
Harga mahasiswa. Tempat parkir luas.tempat nyaman dan pelayanan ramah.cocok buat meting2 club .ada camilan kripik usus nya enak.",D
2917,"
tempat nyaman .apalagi kalau sore.dan harga juga terjangkau",D
2918,"
Asik tempatnya, makanan minuman ga mahal, tapi WiFi nya agak lelet",D
2919,"
Keren puooll",D
2920,"
Kopi nya enak",D
2921,"
Nyaman untuk kerja tgs, cmn tmptnya agak kecil",D
2922,"
Nyaman cocok buat nongkrong ama temen atau butuh kenyamanan untuk ngerjain tugas",D
2923,"
cocok untuk nongkrong, pelayannya ramah.. semoga lantai 2 nya cepat jadiðŸ’«",D
2924,"
Mejanya besar dan banyak, cocok untuk nugas. Menunya ada coffee, non coffee, snack, makanan berat juga ada. Wifinya kencanggg, parkirnya luas, toiletnya bersih. Pembayaran bisa cash dan debit.
Dimsum nya enak bangetðŸ‘ðŸ»ðŸ‘ðŸ»",D
2925,"
Oke..tapi kopinya kurang strong kalo buat saya..heheðŸ™",TD
2926,"
Recommended apik apik ga onok seng elek, seng elek mek 1 erodewe kan",D
2927,"
Sepiii",TD
2928,"
Nyaman trendi dan murah ig: @k.dwidjayanti",D
