no,ulasan,GT
2572,"
Lengkap disini dan berdampingan dengan transmart",D
2573,"
Tempat utk memanjakan keluarga, mall lengkap di kota Malang, parkir ada 4 lantai, tersedia protokol kesehatan dan wajib masker dan vaksin.... Ada foodcourt di masing2 lantai... Tempat jujugan jika berkunjung ke kota Malang....",D
2574,"
playground selalu menjadi lokasi utama selain belanja di hypermart.",D
2575,"
Tambah bgus",D
2576,"
Bagus",D
2577,"
Bagus",D
2578,"
Seruuu",D
2579,"
Suasananya nyaman, ada spot foto juga di dekat hypermart",D
2580,"
beli batik di matahari",N
2581,"
Bagus bersih",D
2582,"
Mall paling""Instagramable"" di Malang",D
2583,"
Bagus",D
2584,"
Lama tdk ngemall",N
2585,"
Selalu ramai",D
2586,"
banyak makanan enak",D
2587,"
Kenapa tmpt parkir motor basement byk genangan airnya, d tambah aroma pesing. Mohon diperbaiki",TD
2588,"
Ramai dan ramah",D
2589,"
Mbak2 yg jaga toilet bawah hypermart nyebelinnya minta ampun ðŸ˜Š",TD
2590,"
Ya mall nya variasi jualan bnyak",D
2591,"
Pusat perbelanjaan (Mall), kuliner .",N
2592,"
Yuk kemari..",N
2593,"
Ramai kali",D
2594,"
Salah satu mall d malang yg cukup besar.
Kesana selalu ruame",D
2595,"
Bagus tempatnya...cocok untuk event",D
2596,"
Prokes ketat,bikin nyaman main dan belanja",D
2597,"
Trempat belanja terlengkap di malang",D
2598,"
Selalu ramai dan padat",D
2599,"
Salah satu mall ICONIC di malang, anda bisa berbelanja beberapa kebutuhan sehari-hari,dan bisa menjadi tempat untuk bermain bersama keluarga.",D
2600,sip,D
2601,"
Tempat sangat strategis",D
2602,"
Bagus",D
2603,"
Bagus",D
2604,"
3secondnya bagus banyak pilihanðŸ˜‰",D
2605,"
Mall nomer satu di malang",D
2606,"
Baik",D
2607,"
kesini sama pacarku",N
2608,"
bagus",D
2609,"
Cocok banget buat refreshing otak yang setiap hari kerja",D
2610,"
Ke Matos buat nonton ke Cinepolis. Good place to hangout~",D
2611,"
Mantap",D
2612,"
Ngunu"" ae pancet ket bien",TD
2613,"
Ada Mushola diparkiran P7.",D
2614,"
Pameran Suzuki",N
2615,"
Indah",D
2616,"
tempat berbelanja yang lengkap, parkir luas, ada bioskop dan arena bermain untuk anak. mulai dari fashion, elektronik, hingga kuliner semuanya tersedia lengkap disini. tersedia pula gerai Matahari, Hypermart, dll, yang menawarkan beragam diskon. Untuk musholla tersedia di lantai atas.",D
2617,"
Belanja nyaman dan terlengkap di malang town square, Belanja dengan si buah hati tetep berhati hati ya, dan selalu di dampingi ketika berada di area mall.

Tetap patuhi protokol kesehatan ya gaes, agar belanja tetap aman dan nyaman, dan agar pandemi ini cepat berakhir",D
2618,"
Keren abis. Fell like on the sky",D
2619,"
Jln"" sambil nonton Spiderman ðŸ•¸ðŸ•·ðŸ•¸ðŸ•·",D
2620,"
menyenangkan",D
2621,"
Steak enak murah",D
2622,"
Mall mahasiswa",N
2623,"
Mall paling lengkap tapi lumayan rame, walaupun weekday",D
2624,"
MantaP",D
2625,"
Pelayanan lengkap,arsitektur bangunannya megah",D
2626,"
Tempat yang asik buat maen bersama keluarga, outlet toko lengkap dengan label toko2 ternama, ada hypermart juga, ada timezone buat bermain, bioskop dan rooftop yg cantik instagramable, kalau ke malang wajib nih kunjungi matos, kebetulan cuma foto rooftopnya aja ya sobat.. Hehe",D
2627,"
Sudah mulai banyak tenant yg buka",D
2628,"
tempatnya bagus...apalagi rooftop nya cocok buat kumpul - kumpul sama temen",D
2629,"
Mall rapi, AC dingin",D
2630,"
Mulai rameeee",D
2631,"
Okee",D
2632,"
Enak buat belanja",D
2633,"
Favorit",D
2634,"
Selalu jadi tempat nyaman nge mall",D
2635,"
Bersih",D
2636,"
ðŸ‘ðŸ‘ðŸ‘ðŸ‘ pusat perbelanjaan terpadu dan modern semua kebutuhan keluarga ada disini sekaligus sebagai tempat rekreasi dan refreshing",D
2637,"
Miss you, ngemall",N
2638,"
Mall di kota malang",N
2639,"
Bayar parkir meskipun hanya lewat mengantar dilobby",TD
2640,"
Mall yg paling nyaman dan bersih â¤ï¸ðŸ‘",D
2641,"
prokesðŸ‘",D
2642,"
Mall ini agak jauh dari kota sih, tapi dia dekat dgn kampusÂ² terkenal kota Malang spt kampus UB salah satunya, tempat yg pas utk nongkrong para muda mudi disini, selain banyak outlet-outlet makanan & minuman, disini juga banyak spot utk fotoÂ² atau selfieÂ²..selain itu ada juga Hypermart klo kita mau belanja keperluan rumah tangga..",D
2643,"
Tempat favorit bersama keluargaðŸ˜",D
2644,"
Kamar mandi berbayar tapi bau dan kotor...
Harusnya kalau berbayar bersih rapi dan wangi... cek lagi fungsi toilet nya",TD
2645,"
Cocok buat yg mau healing nih..",D
2646,"
Spot Foto banyak yg menarik",D
2647,"
tidak begitu ramai, harus scan barcode peduli lindungi",D
2648,"
WC UMUM di lantai paling atas MATOS adalah WC UMUM paling bersih di dlm kota Mlg .
TOP standard Internasional ! Berbayar pastilah, karena perlu perawatan dan perhatian khusus.
Kesehatan dan kebersihan tetap NO 1.
SEMOGA TETAP DI PERTAHANKAN !",D
2649,"
Wow",D
2650,"
Mall Favourite sejak Sekolah. .",D
2651,"
bagusss mallnyaa, ada bioskop foodcourt",D
2652,"
tempatnya strategis,banyak pilihan tokonya",D
2653,"
Baik",D
2654,"
Tempat yg nyaman utk berbelanja, sayangnya utk ke toilet hrs bayar..ini cukup merepotkan bila kebetulan sdg gak bawa uang cash / receh",TD
2655,"
Tempat nongkrong dan belanja yang rapi dan bersih",D
2656,"
Syg ga ada atm BCA yaa",TD
2657,"
Setelah sekian lama tidak ngemall akhirnya Matos ini tempat pertama yang dikunjungi. Stan2nya sdh byk yg buka, cuma untuk makanan tertentu termasuk mahal. Minumannya okelah standar mall",D
2658,"
Gud",D
2659,"
Parkir luas",D
2660,"
Sepi tempatnya...",TD
2661,"
Nyaman, bersih",D
2662,"
Salah satu mall yg nyaman buat nongky2",D
2663,"
Mall terlengkap di Malang.. haha..",D
2664,"
Mau cari apa... Di matos aja",D
2665,"
Matos makin asyik d p11",D
2666,"
Tempatnya mematuhi potokol kesehatan, wajib masker, aplikasi peduli lindungi, dan pasti cek suhu badan dan handsanitizer. Bersih seperti biasanya, tempat parkir yg bagian bawah padat, tp ada parkir atas juga untuk sepeda motor.",D
2667,"
Mall dekat UM",N
2668,"
Indah",D
2669,"
Lengkap",D
2670,"
Baik",D
2671,"
Sudah rame..",D
2672,"
mall yg bersih, ada toilet untuk anak dan orang dewasa di first floor dan banyak spot untuk foto selfie",D
2673,"
Shopping and refreshing keluarga yg terbaik",D
2674,"
Baru kali ini tau di matos ada spot foto",N
2675,"
langganan ngab",N
2676,"
Satpamnya tidak mengecek apakah pengunjung sudah check in di peduli lindungi atau belum. Semua lolos masuk cuma semprot handsanitizer di tangan dan cek suhu.",TD
2677,"
Sepi",TD
2678,"
selalu puas. untuk ukuran malang. mall yg yg tdak terlalu luas tp lumayan lengkap utk pakaian dan sepatu dan banyak pilihan makan dan minum dan snack",D
2679,"
Walau pandemi Corona.... pengunjung lumayan banyak....prokes 3 M..... dilaksanakan dengan baik",D
2680,"
Parkir luas dan aman",D
2681,"
Keren",D
2682,"
Serep bos",D
2683,"
Bagus",D
2684,"
Matos",N
2685,"
Luar biasa",D
2686,"
Tempat nyante bareng keluarga...",D
2687,"
Semua ada, harga relatif.",D
2688,"
tempat belanja nyaman,berbagai keperluan ada disini...parkir luar dalan dan di luar",D
2689,"
Kemarin nganter ngurus KIA skalian jalanÂ² dan belanja",N
2690,"
Pengaturan parkir motor gak jelas.",TD
2691,"
Dari semua mall. Aku masih suka sama matos sih. Karena selain banyak tenan favorit, food court juga banyak. Apalagi sekarang dilantai atas ada tempat buat nongki dg dekor yg bagus banget. Rekomen bgt sih.",D
2692,"
Matos mantap",D
2693,"
Tempatnya bagus nyaman untuk selfi keluarga",D
2694,"
Sepi",TD
2695,"
Lumayan lengkap lah, standar mall,",D
2696,"
Keren mantap mantap mantap",D
2697,"
Tempat luas.
Bagus.
Selalu rame.
Lengkap dan banyak pilihan produk.
Banyak diskon pula ðŸ˜ŠðŸ˜Š",D
2698,"
Tempat belanja dan rekreasi",D
2699,"
Mulai rame",D
2700,"
roof topnya keren",D
