no,ulasan,GT
2832,"
Digarap.in sangat rekomen sekali buat para pembisnis yang membutuhkan jasa pembuatan web dan desain sosmed. Staffnya sangat ramah dan solutif serta kreatif jadi bener bener one stop solutions buat para pembisnis. Wajib banget menghubungi digarap.in karena sangat bagus dan ahli!",D
2833,"
Recomended Untuk Team Work",D
2834,"
Our very first podcast experience was hosted here. Superb! Awalnya familiar dengan tempat ini karena sering dipakai untuk event komunitas. Ternyata bisa disulap jadi studio podcast juga. The crews are very friendly and helpful. Tempat ini mudah ditemukan di antara deretan warung kopi yang berjajar di sepanjang jalan Sudimoro. Thank you Ngalup for the experience.",D
2835,"
Karen tempatnya gaes",D
2836,"
Sangat reccomended buat komunitas, instansional, korporasi untuk coworking. Kenyamanan, menu, layak dicoba. Kuy !",D
2837,"
Nyaman dan bersih",D
2838,"
Aalah satu coworking terbaik di malang",D
2839,"
Tempatnya nyaman buat workshop. Pernah ikutan workshop di sini",D
2840,"
Rekomen",D
2841,"
Yuhuuu keren banget tempatnya cocok gitu buat ngadain acara acara short course",D
2842,"
Tempat nongkrong asyik utk bekerja dan bertukar pikiran.",D
2843,"
Tempatnya asik, keren, orang2nya iuga keren dan asik2 banget, nyaman utk anak muda ngumpul disini. Gak cuma sekedar nongkrong, tapi banyak event2 keren juga...

Recommemded
â¤",D
2844,"
Tempat yang cocok untuk diskusi bareng. Lokasinya tenang, karena jauh dari jalan raya. Bising dari kendaraan yang biasanya mengganggu tidak terdengar disini. Fasilitas untuk acara seperti seminar seperti proyektor, sound system dan lain2 tersedia disini. Recommended banget tempat ini untuk kalian yang senang diskusi ðŸ‘ðŸ‘ðŸ‘",D
2845,"
TerimakasihhðŸ¥°ðŸ¥°",D
2846,"
Nyaman banget",D
2847,"
Tempatnya nyaman, cocok untuk kerja",D
2848,"
Tempat ini merupakan tempat yang sesuai untuk kegiatan organisasi dan yang lain-lain",D
2849,"
tempatnya cozy bgt apalagi buat acara spt diskusi gitu",D
2850,"
Mantap!",D
2851,"
Tempatnya nyaman banget",D
2852,"
Nyaman tempatnya",D
2853,"
Banyak sekali event2 keren disini. Dan tempatnya juga nyaman sekali",D
2854,"
Mantap",D
2855,"
Tempat yang nyaman buat diskusi
Jan lupa dateng ke ngalup ya guyss buat diskusi kalian lebih menyenangkan",D
2856,"
Mantap keren",D
2857,"
Recommended place, terimakasih karena telah membantu menyukseskan acara DPM â˜ºï¸",D
2858,"
Recomended",D
2859,"
Mantap",D
2860,"
Mantap",D
2861,"
Gud place",D
2862,"
Mantap si coworking space recommended pol ðŸ˜­â¤ï¸",D
2863,"
Legislative Training DPM FP UB 2020 keren banget di ngalup!!!!!",D
2864,"
Tempatnya enak buat rapat, nyaman, dan juga fasilitasnya lengkap untuk kebutuhan seminar, rapat dan lainnya. Rekomen banget buat mahasiswa yang mau ada kegiatan rapat dll.",D
2865,"
Tempatnya enak.. nyaman",D
2866,"
Yess",D
2867,"
Mantaaap",D
2868,"
Suka banget di Malang ada ginian.. tempatnya belajar dan kolaborasi bareng..

Beberapa kali ngalup ngadain kelas buat belajar seputar start up, digital marketing dll dengan nilai investasi yang cukup terjangkau tapi materinya kece bangat..

Bahkan ada beberpaa event yg diadain gratis untuk sobat ngalup.. salut buat ngalup.. westalah, ngalup ae.. :D",D
2869,"
tempatnya cozy bgt buat adain event2",D
2870,"
Desain nya unik bgtttt!!! Suasananya comfy ðŸ’–",D
2871,"
tempatnya enak kalo buat ngungumpul atau rapat",D
2872,"
Cozy buat nugas",D
2873,"
Salah satu co working space yg paling keren menurutku. Fasilitasnya lengkap dan tempatnya lumayan luas. Layoutnya gak monoton bisa disesuaikan dengan konsep seminar yg ingin diadakan",D
2874,"
Nyaman tempatnya, cocok buat tempat ngerjakan tugas, luas tempat nya, rekomendet banget mah ngalup...",D
2875,"
nih tempat enak banget anjir selain desain milenial tempat juga luas ada meja2 buat diskusi yg terpenting cuman pesen minum botolan aja udah bisa lama disitu ahahhaha saran aja sih tambahin menu lain.juga alat oembayarannnya dipermudah",D
2876,"
Coworking Space nomor 1 (menurut saya) di Malang, fasilitas lengkap dan sering ngadain event. Cuma lokasi aja yang lumayan jauh dari pusat kota Malang.",D
2877,"
Tempat yang cozy buat ngumpul sesama komunitas atau buat kerja dan belajar",D
2878,"
Coworking yg cocok utk tempat kegiatan pelatihan, bootcamp dsb. Kami cukup sering ikut kegiatan di Ngalup dan selama ini sih oke. Kendala hanya lokasi yg agak masuk kedalam.",D
2879,"
Pertama kali ke ngalup waktu ada event blogger ngalam bersama jatim park, menurut saya, dekorasi, interior ngalup kekinian banget bernuansa putih, sangat sesuai kebutuhan para pekerja kreatif. Lokasinya juga lumayan jauh dari hiruk pikuk bising kota. Dekat kebun bibit mojolangu, dan kopi ruang. Sangat cozy buat nongki produktif. Luv ngalup!",D
2880,"
Tempat yang asik dan nyaman untuk ngadain acara. Anak muda banget lah pokoknya.",D
2881,"
Tempat ngumpul, diskusi dan bikin event yg menyenangkan.",D
2882,"
Kesini untuk mengikuti acara wiki latih Malang. Overall nyaman. Ada mushalla. Wifi kenceng. Tp sayang letaknya lumayan susah dicari",D
2883,"
Tempat kumpulnya komunitas, pelaku UMKM, orang2 super disini buat sharing n diskusi",D
2884,"
Tempat nyaman buat efent",D
