no,ulasan,GT
2101,"
Ramai",D
2102,"
Ramai pasar kurang kerapiannya",TD
2103,"
Berbagai komoditinya ada sebagian disini ,ada jg oleh"" khas Madiun dgn harga terjangkau sekali dgn penjualnya yg ramah"" harga sangat merakyat",D
2104,"
Terlengkap",D
2105,"
Hmm, yo ngunu iku",N
2106,"
Pasar yg cukup lengkap dan harga sesuai kualitas barang",D
2107,"
Segala jenis barang bisa ditemukan di sini.",D
2108,"
Nyaman",D
2109,"
Segala macama ada",D
2110,"
Lumayan komplit, tapi susah dapet parkir mobil",TD
2111,"
Banyak pilihan kebituhan",D
2112,"
Mantap",D
2113,"
Kotor..",TD
2114,"
Lengkap semua ada di sini",D
2115,"
Perlu dibenahi",TD
2116,"
Pasarnya kotor, kurang terawat",TD
2117,"
Sangat perfek untuk kebutuhan sehari hari.",D
2118,"
Lengkappp",D
2119,"
Merupakan pasar tradisional yang terbesar di kota Malang, menyediakan berbagai macam kebutuhan dasar. Harga termasuk terjangkau..",D
2120,"
Lengkap",D
2121,"
Tempat belanja terbesar sekota Malang tempat belanja dari ujung rambut sampai ujung kaki semua ada , dan kebutuhan pokok sehari"" pun tersedia .",D
2122,"
Banyak pedagang pinggiran sebelah barat bikin susah nurunin brankas ditambah ada atap2 dr terpal",TD
2123,"
Tempat grosir terbesar di kota malang",D
2124,"
Selalu rame",D
2125,"
Tempat bersih",D
2126,"
Cari barang apa aja. Pasti ada.",D
2127,"
Masih sama dengan yg dulu, g ad perubahan atau renovasi. Cm agak berkurang toko yg buka",D
2128,"
Pasar yang sangat lengkap untuk berbelanja kebutuhan primer dan sekunder",D
2129,"
Beli celana pendek",N
2130,"
Selalu miss direction kalau masuk pasar ini, bingung karena gerbang nya banyak. Pilihan dagangan banyak tapi tidak ditunjang dengan sarana prasarana yang kumuh dan kebersihan tempat yang sangat buruk. Semoga ada kebijakan baru dari pemerintah kota untuk pasar legendaris ini.",TD
2131,"
Buat belanja apapun yg buat kulakan Seperti Daleman ..bisa banget murah banget buat yg mau dijual lagi grosiran",D
2132,"
Belanja murah....",D
2133,"
Lengkap. Banyak pilihan.",D
2134,"
Melengkapi segala kebutuhan anda",D
2135,"
Tempat beli perhiasan yg selalu jadi langganan ðŸ¥°ðŸ¥°",D
2136,"
Murah",D
2137,"
Pasarnya sederhana cari barang keperluan sehari"" sangat lengkap",D
2138,"
Pasar malang atau pasar Madura ?",N
2139,"
Nakam otos",N
2140,"
nikmatnya tawar menawar barang yang di inginkan",D
2141,"
Kotor",TD
2142,"
Kesini numpang parkir.",N
2143,"
Pasar masih kumuh",TD
2144,"
Sarana Sentral belanja segala kebutuhan masyarakat kota Malang",D
2145,"
nyasar",N
2146,"
Bisa mencari apapun disini....",D
2147,"
Segala kebutuhan harian anda tersedia di sini",D
2148,"
Pasar besar aman",D
2149,"
lumayan",D
2150,"
ramai sekali tiap hari ...harus pandai pandai mencari barang murah",D
2151,"
Cukup bagus",D
2152,"
Bagus",D
2153,"
first time kesini",N
2154,"
Bagus luas dan bersih",D
2155,"
pusat segalanya ada,sayang petunjuk arah ke berbagai pusat grosir tidak tersedia,kita harus bertanya dan menghafal jalan menujunya",TD
2156,"
Kotor kurang teratur",TD
