no,ulasan,GT
1979,"
murah meriah lengkap",D
1980,"
Buku lengkap, cuma cukup mahal untuk ukuran buku lama dan kw.",TD
1981,"
Lumayan kalau pingin cari buku Murmer, yang penting bisa nawar",D
1982,"
Buku yang dijual murah. Namun saya masih ragu ntah apa buku yang dijual itu bekas atau bajakan. Untuk pembaca bijak, ingat untuk selalu menghargai penulis yaðŸ˜‰ðŸ™ðŸ½",TD
1983,"
Tetap bertahan walaupun tergeser oleh kemajuan tekhnologi",D
1984,"
Sangat berguna buat mahasiswa",D
1985,"
Buku..buku dan buku",N
1986,"
Dikarenakan judul buku yg kita cari tidak ada di Wilis,,, Berarti Toko buku tsb kurang lengkap..",TD
1987,"
Tempat cari buku terlengkap. Tukang parkir ramah",D
1988,"
Tempatnya mencari buku , baik yg second maupun yang baru,,",D
1989,"
Apakah bisa jual buku bekas.?",N
1990,"
Parkir luas, koleksi buku cukup banyak, harga (relatif) bisa nego",D
1991,"
Aku siapa ? Kamu siapa ? Aku dimana ? ðŸ¤ª",N
1992,"
Nyaman dan santai buat cari buku ataupun novel,penjualnya ramah2",D
1993,"
bisa dibilang toko buku old dan lumayan lengkap. ðŸ‘",D
1994,"
Pusat penjualan buku-buku bekas yang lengkap.",D
1995,"
Mantulll",D
1996,"
Buku second lengkap dan harga terjangkau",D
1997,"
Ingat pasar buku di Pasar Senggol Kayutangan tahun 1980an.",N
1998,"
Cari buku mapel dan materi perkuliahan ada dengan harga nego",D
1999,"
Lengkap dan murah meriah",D
2000,"
Bagus murah",D
2001,"
Lumayan lengkap mencari buku2 bekas",D
2002,"
berbagai macam jenis buku ada disini",D
2003,"
lapak pedagang nya banyak dan buku buku nya lengkap",D
2004,"
Buku2nya lumayan lengkap dgn harga yg bisa dinego..",D
2005,"
Toko buku dari jaman old sampe sekarang. Dulu sempat di depan kotabaru pindah ke jalan wilis tetap dengan suasana yg sama. Berbagai macam buku banyak disini",D
2006,"
Mantap",D
2007,"
Sangat terbantu dengan koleksi bukunya
Good
Mantab
Lokasinya strategis
Pelayanan oke",D
2008,"
Cocok untuk jujukan mencari buku-buku yang lama tdk di terbitkan lg, ataupun mencari referensi buku lain buat perbendaharaan ilmu pengetahuan.",D
2009,"
Buku-bukunya lengkap. Novel-novel best seller pun ada dan dengan harga miringðŸ‘ðŸ»ðŸ‘ðŸ» recomended bgtt buat para mahasiswa yg lagi cari bukuÂ² kuliah",D
2010,"
Cari buku seken murmer. Tinggal nanya, penjualnya seperti katalog berjalan.",D
2011,"
Mantab",D
2012,"
Tempat menyediakan berbagai macam buku baik lama maupun terbaru",D
2013,"
Menunya recommended",D
2014,"
Bagus",D
2015,"
Buku-buku yang disediakan lumayan lengkap, harganya dibawah harga toko kebanyakan, tempat yang pas untuk kolektor buku bekas.
Parkiran luas",D
2016,"
Nyaman tempatnya",D
2017,"
Pasar Buku Wilis memang diperuntukan jual beli buku bekas atau lama tetapi juga ada buku yg baru terutama untuk pelajar sekolah ....",D
2018,"
Tersedia buku bekas dan baru",D
2019,"
Lengkap pas di kantong mahasiswa",D
2020,"
Tempat parkir tersedia,tempat pasar buku tertata rapi,harga kompetitif,berada di pusat kota,berdekatan dengan banyak usaha lainnya.",D
2021,"
Pasar buku murah tdk murahan ðŸ‘",D
