no,ulasan,GT
1801,"
Tempat nyaman untuk membaca",D
1802,"
perpustakaan malang",N
1803,"
Sebagai orang Jogja yang bisa membandingkan kualitas layanan dan fasilitas, saya pikir alangkah lebih baik perpuskota malang lebih longgar dalam perizinan pustakawan membawa minum masuk ke dalam ruang baca dan menyediakan water fountain gratis bagi pustakawan serta pemberian pswd akses wifi saat registrasi awal.

Koleksi buku lawas, ruang baca cukup luas, kondisi cukup tenang, layanan petugas cukup baik dan mudah di mengerti. Tidak tersedia tempat sampah di dalam ruang baca dan toilet. Petugas penata buku kurang halus dalam bekerja sehingga bising suara tumpukan buku dan cukup mengganggu.",TD
1804,"
Bukunya lumayan lengkap. Tempatnya nyaman",D
1805,"
Lokasi yang spesual..",D
1806,"
Tempatnya nyaman buanget, petugasnya ramah2, mulai parkir sampai masuk perpus",D
1807,"
#pacitan ðŸ¥°ðŸ¥°",N
1808,"
Favorito bangeet, dulu jaman aku kuliah, perpus buka dari pagi sampe mualem banget. Suka menghabiskan waktu disini",D
1809,"
Tempat yg nyaman buat baca2 n cari ilmu ...",D
1810,"
Saya sangat puas pinjam buku diperpustakaan malang. Karena tempat bersih dan pelayanannya bagus.",D
1811,"
Pinjam buku diperpustakaan kota sangatlah lengkap",D
1812,"
Untuk layanan peminjaman bukunya menurut saya sudah baikðŸ‘",D
1813,"
Sistem pinjam buku pada perpustakaan kota malang ini saya rasa sudah cukup bagus dalam pelayanannya terhadap pengunjung",D
1814,"
Perpustakaan Kota Malang adalah pusat dari buku-buku beragam jenis/genre serta arsip yang terbuka untuk umum. Tidak dipungut biaya untuk masuk ke dalam tetapi cukup disayangkan terdapat biaya parkir untuk motor sebesar 2.000 dan mobil 3.000. Menanggapi penyebaran covid-19 Perpustakaan Kota Malang menyediakan beragam fasilitas untuk memudahkan pengunjung seperti fitur drive thru, wastafel, hingga tempat duduk yang berjarak.",D
1815,"
Suka lihat pemandangan dari atas dengan view jalan ijen dan gunung dibelakangnya",D
1816,"
Tempatnya nyaman, bersih",D
1817,"
Pelayanan nya sangat ramah bagi pemula seperti saya (belum pernah ke perpustakaan) shg masih banyak tanya-tanya. Tapi untuk informasi dan reservasi online di web nya masih susah dipahami",D
1818,"
Layanan bagus
Sering baca koran di situ
Buku2 di lantai ll",D
1819,"
Perpustakaan bagus, fasilitas memadai, sangat nyaman, namun pegawainya ya allah, jauh dari kata ramah,pernah dikacangin ditinggal maen ches.com hzz, yang ramah cuma mahasiswa yg lagi magang disana",TD
1820,"
Tempat nya bagus, bersih dan rapi dan buku buku nya cukup lengkap, pelayanan nya juga lumayan semoga kedepanya perpustakaan malang menjadi lebih baik..",D
1821,"
Good nyaman...",D
