no,ulasan,GT
1953,"
Disini perpustakaan terlengkap d malang, wifi nya sangat kencang, tanpa password",D
1954,"
Sering ke perpus, untuk ngerjakan tugas dan laporan.",D
1955,"
Apakah ada kontak staff perpustakaan yang bisa dihubungi? Apakah perpustakaan UB menerima anak magang? Kalau menerima maksimal berapa anak ya?",N
1956,"
Lumayan buat cari referensi skripsi",D
1957,"
Lingkungan nyaman dan tenang. Gemericik air dari air pancur menentramkan hati. Kehadiran hewan-hewan di taman mini ini menghibur mahasiswa. Sangat cocok untuk belajar. Cakupan Wi-Fi juga luas sehingga memudahkan mahasiswa mengakses informasi akademik.

Sukses terus, Universitas Brawijaya.",D
1958,"
Kereen",D
1959,"
Perpustakaan Universitas Brawijaya terletak di dekat bundaran sehingga mudah untuk ditemui. Tempat ini merupakan tempat yang sangat baik untuk belajar mandiri karena tidak berisik dan tempatnya yang nyaman. Bagian dalamnya tidak polos dan terdapat berbagai hiasan lampu. Di lantai 1 lebih banyak tempat untuk mengerjakan tugas sehingga banyak colokan, sedangkan di lantai atasnya baru ada koleksi buku perpustakaan UB.",D
1960,"
Bagus",D
1961,"
Perpustakaan Pusat UB yang terletak berdekatan dengan Gedung Rektorat ini sering kali menjadi tempat mahasiswa belajar, diskusi kelompok, hingga beristirahat sejenak dengan pemandangan taman dan air mancur yang menyegarkan. Tempat ini juga menyediakan fasilitas seperti kursi serta meja, colokan listrik, dan wifi.",D
1962,"
Gazebo-nya nyaman",D
1963,"
Tempat yang akan selalu dirindukan ðŸ˜
Ruang baca ternyaman untuk konsentrasiðŸ˜˜ Jika bosan pindah duduk dimanapun viewnya indahðŸ˜",D
1964,"
Kampus luarbiasa favorite disini sangat nyaman dan terjaga kelestarian dan kebersihannya, namun sekarang kampus sepi akibat liburan semester biasanya jika sore banyak yang mengerjakan tugas atau menikmatk wifi dikampus terutama yang rame didaerah perpus pusat deket rektorat",D
1965,"
sangat bagus suasana nya untuk belajar",D
1966,"
wifinya kenceng. ada beberapa stop kontak yg rusak/mau copot

dekat ATM Mandiri. ada kantin juga di belakang. suka ada pameran buku, cek di ig @ublibrary
cuma di lantai 2 perpusnya agak panas.",TD
1967,"
Kapan bisa akses buku dan jurnal?",N
1968,"
Mantap",D
1969,"
Buku bukunya lengkap",D
1970,"
Bagi mahasiswa UB pasti ngerti tempat ini. Halaman depan perpustakaan ini biasanya temat berkumpul temen-temen. Ada yang jualan mulai dari air, snack, kue dll. Kadang ada juga bazar buku disini. Tempat nongkrong bagi mahasiswa yang butuh wifi gratis.wkwkwkwkwk",D
1971,"
Apakah tempat ini terbuka untuk umum??",N
1972,"
Saya suka berada di tempat ini.. kalau weekend pagi hari enak. hawanya sejuk walau di outdoor.. dengan pemandangan air mancur, lapangan, dan manusia yang lagi jogging.. btw kalau pagi pagi banyak nyamuk.. musim hujan kali ya..",D
1973,"
Banyak buku yang bisa dipinjam, tempatnya nyaman dan bersih",D
1974,"
semoga ada water refill stationnya dengan air layak minum",TD
1975,"
Tempat nyaman",D
1976,"
Koleksi bukunya banyak. Tp kurang lengkap",TD
1977,"
Lahh, sabtu minggu kok tutup?",TD
1978,"
Perpustakaan pusat UB melayani peminjaman buku-buku kuliah dengan label putih dapat dipinjam label merah tidak dapat dipinjam. Pinjaman buku sangat mudah kita hanya perlu scan KTM dan barcode buku yang dipinjam nanti akan muncul kertas berapa lama pinjaman bukunya, sebisa mungkin mengembalikan buku tepat waktu agar tidak bayar denda.
Jam layanan perpus UB dari jam 8.00 sampai 20.00 untuk hari kerja, untuk Sabtu dari jam 9.00 sampai 13.00 setengah hari saja. Minggu tutup. Buat kalian yang ingin melihat hasil skripsi teman atau kating kalian bisa masuk di ruangan skripsi, disediakan juga colokan agar lebih mudah dikerjakan ditempat.",N
