no,ulasan,GT
1921,"
Tempatnya nyaman dan buat setiap yang masuk nggak pengen keluar. Dan tentunya wangi banget. â˜ºðŸ‘",D
1922,"
Perpustakaan luas dan lengkap tentang materi kuliah",D
1923,"
mengerjakan skripsi seorang diri",N
1924,"
Koleksi lengkap dan tempatnya nyaman",D
1925,"
Nyaman, banyak referensi yg mudah dicari di sini, dan pelayanan juga cepat",D
1926,"
Memudahkan dan nyaman",D
1927,"
nyaman",D
1928,"
Mau di luar perpus atau di dalam perpus, sama aja. Sama-sama adem dan jaringan internet lancar jaya ðŸ˜…",D
1929,"
Nggak sesuai dengan jadwal",TD
1930,"
Nyamannn",D
1931,"
Pempeknya yang jual didalem perpus ini, enak!",D
