no,ulasan,GT
1864,"
Tempat yang nyaman untuk belajar. Tempatnya bersih rapi dan luas . Good ðŸ˜ðŸ‘ðŸ‘",D
1865,"
dari masa ke masa ... """,N
1866,"
Nyaman untuk belajar",D
1867,"
Suasana dan tempatnya nyaman banget untuk menikmati waktu sendiri. koleksinya juga beragam sangat membantu untuk menemukan inspirasi tulisan baru.",D
1868,"
Perpus yg nyaman dsn hijau",D
1869,"
tempatnya nyaman, wifinya kencang, petugasnya sangat membantu",D
1870,"
perpustakaan UM, nyaman, banyak buku referensinya, pelayanannya juga bagus, mantappp ðŸ‘ðŸ‘",D
1871,"
Tempat pewe untuk mengerjakan tugas atau skripsi. Terima kasih, perpustakaan UM ðŸ˜Š",D
1872,"
Unggul",D
1873,"
PerpusAe , nama perpustakaan UM..",N
1874,"
Tempat yang cocok untuk belajar karena ketenangan dan kerindangan",D
1875,"
Buat pecinta goresan tinta diatas kertas, tempat ini rekomended banget. Buat nyari referensi juga bisa, baca hal hal ringan juga bisa. Suasananya yang tenang bisa buat perasaan damai. ;)",D
1876,"
Tempat ternyaman mengerjakan tugas dan skripsi. Pelayanan bagus dan ramah, serta tempat yang rapih dan bersih...",D
1877,"
Pokok nyaman wkw",D
1878,"
Tempat Segalanya di kampus",D
1879,"
Sejuk, kondusif",D
1880,"
Tenang, bersih",D
1881,"
Nyaman banget buat nugas, baca buku, kumpul sama temen, atau sekedar nyantai pun bisa",D
1882,"
Pelayanan tata usaha mohon diperbaiki, masak ngantur antrean saja semrawut.

Kalo belum mampu bikin sistem antrean (bertiket) kayak di gedung rektorat, minimal bikin nomor antrean tulis tangan terus di guntingin.",TD
1883,"
akses masuk yang mudah untuk mahasiswa universitas negeri malang sendiri.
banyak bangku dan beberapa dilengkapi dengan stop kontak sehingga cocok untuk mengerjakan tugas. toilet sangat bersih, dilengkapi juga dengan mushola. untuk jam buka bisa langsung cek di website-nya dikhawatirkan ada perubahan, namun biasanya untuk hari senin-kamis buka pada pukul 07:00-15:00, untuk hari jumat buka pada pukul 07:00-11:00.
ketika mengunjungi perpustakaan, pastikan menggunakan sepatu dan tidak menggunakan jaket atau hoodieðŸ˜ðŸ‘ðŸ»",D
1884,"
Menarik",D
1885,"
Pelayanan perpustakaan udah baik dan banyak fasilitas baru yang membuat nyaman mahasiswa.",D
1886,"
Luar biasa banyak bukuÂ² terbaru dan tempatnya nyaman yg dilengkapi musholla juga",D
