no,ulasan,GT
534,"
Semalam berobat ke IGD karna demam, Terima kasih dr dan perawat IGD karena sangat Gercep, tanggap dan memberikan pengobatan terbaik.
Di bagian pendaftaran jg ramah dan sangat membantu terkait informasi penjaminan BPJS.",D
535,"
Sudah baik pelayanannya, tapi ada satu alat di poli gigi anak yang tidak kunjung diperbaiki sdh setahun lebih rusak katanya, ketika anak saya periksa kesana jadi rujukannya hangus.",TD
536,"
Rsud sudah semakin berkembang, nomor antriannya juga sudah otomatis dan membuat pelayanan lebih cepat dan tertata.",D
537,"
Pelayanan satpamnya buruk!!!",TD
538,"
Pelayanannya baik, tenaga kesehatannya ramah2",D
539,"
Perawat dan dokternya ramah dan Biayanya terjangkau",D
540,"
Terima kasih kepada Allah melalui Tim Dokter Anak dan Tim ICU RSUD kota malang sekarang anak saya sdh sehat kembali stelah kemarin selama 2 minggu di ICU, semoga Allah membalas dengan balasan yang baik, matur nuwun sanget Tim Dokter anak dan Tim ICU RSUD kota malang ðŸ™ðŸ™ðŸ™",D
541,"
Rumah sakit yang begitu luar biasa dalam memberikan pelayanan dan perawatan bagi pasien positif covid19. Tenaga kesehatannya bekerja tanpa pamrih",D
542,"
Mohon disediakan mushalla untuk pasien/keluarga",TD
543,"
Pelayanan bagus dan tempatnya nyaman",D
544,"
Pelayanan yang ramah, kantinnya bersih, dan tempat parkir yang luas. ðŸ‘",D
545,"
Pelayanan mudah dan parkir yang sangat luas. ðŸ‘",D
546,"
Pelayanannya baik, petugasnya ramah dan baik hati. Tempatnya juga bersih dan nyaman. Terimakasih atas pelayanannyaðŸ™",D
547,"
Alhamdulillah pelayanan yg baik petugas kesehatan sangat sabar dan ramah semoga semakin lebih baik",D
548,"
Sejauh ini bagus, dibandingkan RS lain yg se-tipe. Cuma mungkin bbrp bagian yg perlu diperbaiki dan ditingkatkan.
Berharap kedepannya ada mesin EDC di bagian kasir, ato mesin ATM di lingkungan RSUD, mengingat tdk semua keluarga pasien membawa uang tunai yg mencukupi dan lumayan jauh jika harus keluar ke ATM terdekat.",D
549,"
Dekat dengan rumah dan tempatnya nyaman. Mungkin bisa ditambah mesin ATM biar lebih mudah",D
550,"
Pelayanan Vaksinasi nya ramah",D
551,"
Pelayanan vaksinasi yang baik, petugas ramah dan cepat.",D
552,"
Di poli penyakit dalam, dokternya baik, ramah, dan sabar dalam memberi penjelasan ke pasien.",D
553,"
Perawatnya ramah ramah ðŸ˜ðŸ˜ðŸ˜ðŸ˜",D
554,"
Pelayanan cukup bagus,fasilitas juga tersedia,dari satpam sampai poli...memang butuh kesabaran untuk mengantri karna pasien gk cuma 1 dan pasti ada hal yg perlu dijelaskan ke kita sebagai pasien jika ada hambatan/permasalahan dengan persyaratan yg diperlukan yg memakan waktu..",D
555,"
dokter gigi anak sangat baik dan ramah, pelayanan RSUD bintang 5",D
556,"
Dokter dan perawatnya sangat ramah dan komunikatif dalam perawatan. Lingkungan bersih dan asri. Pelayanan memuaskan.",D
557,"
Mantul",D
558,"
berobat ke spesialis kulit. dokternya baik, parkiran luas. ruang tunggu oke. sayangnya toilet lantai 2 belum jadi",D
559,"
pelayanan vaksinasi baik, petugas ramah dan cepat",D
560,"
Di ruang perawatan anak, pelayanannya bagus ada AC water heater ruang bermain mini. Perawat, dokter, dan petugas lainnya juga ramahÂ² semua. The best pokoknya ðŸ¤—",D
561,"
RSUD Kota Malang, tingkatkan pelayanannya, Semoga tambah maju dan sukses",D
562,"
Layanan vaksinasi baik ðŸ‘ðŸ»",D
563,"
Pelayanan poli gigi sangat baik, saya beberapa kali perawatan saluran akar gigi sudah tidak pernah sakit gigi lagi.
Mungkin memang perlu mengantri, saya maklum karena memang butuh ketelitian dalam penanganan sebagaimana di klinik swasta yg lainnya sebelum berobat di rsud kota malang",D
564,"
Rumah Sakit milik pemerintah kota Malang. Pelayanan yang ramah, perlu dipertahankan dan ditingkatkan. Kondisi ruangan yang bersih. Dokternya masih muda. Perawatnya menawan.",D
565,"
RS bersih...nyaman....",D
566,"
Pelayanannya ramah, bagus, tapi masih perlu ditingkatkan lagii",D
567,"
Karu hcunya kerennn",D
568,"
Pelayanan cepat, biaya terjangkau",D
569,"
Pelayanan administrasi pendaftaran sangat lama",TD
570,"
Petugas ramah, namun pelayanan parkir kurang sesuai standart tanpa ada karcis resmi",TD
571,"
Salah satu Rumah Sakit di daerah Kedungkandang",N
572,"
parkiran luas,pelayanan memuaskan",D
573,"
Penanganan cepat",D
574,"
Tempat ini mengadakan pelatihan relawan wabah",N
575,"
Hanya bisa bayar cash saja padahal selama pandemi disarankan transaksi non cash. Kemudian saat mau keluar ke ATM sebentar untuk ambil uang ternyata dikenakan parkir Rp3000 padahal sudah bilang hanya sebentar dan akan kembali lagi. Tapi kata petugas parkirnya bayar untuk sekali parkir jadi sangat merugikan apabila perlu bolak balik ke RS karena harus bayar lagi dan lagi.",TD
576,"
Semoga masjid nya segera jadi. Lapangan parkir di samping cukup luas",D
577,"
maaf saya mau tanya , disini apa bisa buat surat keterangan bebas narkoba ya ?",N
578,"
Layanan sudah lebih baik",D
579,"
Bagus, dokternya kebanyakan masih muda",D
580,"
Jau dari ky",N
581,"
Ruang isolasi tanpa sekat, tidak ada televisi sehingga pasien jenuh, pintu kamar mandi tidak ada kuncinya",TD
582,"
Sangat memuaskan pelayanannya, 2kali dirawat disana
Perawat dan dokternya juga ramah",D
583,"
Bersih",D
584,"
Moga memantu",N
585,"
saya sangat bangga dengan pelayanan RSUD Kota Malang dan parkiran yang sangat luas,",D
586,"
Apakah ada email kusus untuk komplain? atau nomor kusus yg bisa sy hubungi? karna sy masih menghormati anda",N
587,"
terletak dipinggiran kota, udara sejuk, parkir luas, free wifi",D
588,"
Bagus dan murah . . Alhamdulillah saya lekas sembuh",D
589,"
UGD 24 jam plus selamat SIMRS RSUD Kota Malang yang baru di launcing",D
590,"
tempat bersih.petugas ramah.untuk pelayananya lebih di tingkatkan lagi",D
591,"
Poli Bedah nya mantap pelayanannya . . Alhamdulillah sembuh",D
