no,ulasan,GT
398,"
Pelayanan sipp",D
399,"
DOKTER IGDNYA GALAKK PARAHH BAGAIMANA INII PIHAK RS????!!!!!!?!!!",TD
400,"
Kritik: Untuk ibu penjaga bilik informasi; anda digaji untuk memberikan informasi yg baik dan benar, bukan malah main hp dan meng-underestimate orang.
Saran: Perlu adanya evaluasi terkait kinerja pelayanan, sop 3S (senyum, salam, sapa) dlam pelayanan administratif harus diterapkan agar msyarakat merasa nyaman dn rs lavalet bisa menjadi yang terbaik di kota Malang.",TD
401,"
Pelayanan dari suster dan pegawainya mantap. Sangat amat ramah. Puas sekali dengan pelayanan ramahnya. Sukses terus untuk lavalet. Btw fotonya diambil dari parkiran",D
402,"
Kurang memadai. Petugas penerima rawat inap lemot, pasien ditumpuk dulu baru diantarkan ke ruangan. Kalau begitu apa gunanya nomer antrian? Kalau pasien yg mengantri lebih awal dapatnya ruangan sama dengan mengantri belakangan. Alur pelayananya sangat tidak recomendedðŸ‘Ž",TD
403,"
Pelayanan rawat inap kurang bagus. Butuh waktu dari jam 7 pagi hingga jam 11 baru bisa masuk kamar rawat inap, pasien menunggu di pendaftaran kamar terima sngat lama padahal lagi sakit. Semoga sistem nya bisa di perbaiki",TD
404,"
Untuk pelayanan CS menurut saya sudah cukup informatif dan memberikan masukan informasi yg sangat baik. Tetapi di pelayanan apotek kurang bagus, mungkin kekurangan SDM atau administrasi yg tidak bagus sehingga pengambikan obat sangat lama, kemaren saya ambil obat non racik terlawat beberapa nomor antrian padahal posisi saya duduk di depan loket. Sehingga sempat menanyakan ke petugas dgn jawaban yg kurang mengenakan.... Padahal saya hanya pingin meluruskan kenapa nomor antrian saya bisa dilewati beberapa antriandi atas saya. Kalo bisa ditambah petugasnya di bagian obat obatan biar cepat pengambilan obatnya",TD
405,"
RS dengan layanan yang baik",D
406,"
pelayanan ramah, fasilitas lengkap, ga ketat ketat amat, cuma parkir mobilnya sering overload",D
407,"
Rumah sakit yg bersih dan lengkap
Poli utk kontrol lengkap
Karyawan ramah dan gemar membantu pasien/keluarga pasien.
Menerima pasien dengan BPJS.
Tersedia Laboratorium,kantin makan di luar RS dan buka pada jam tertentu.",D
408,"
Pelayanan sangat sangat sangaat burukk....terutama satpam depaaann...ditanyak baek2 jawabnya nyengol....pelayanan satpam (laki2) depan tgl 23 Oktober 2021 jam 15:16..",TD
409,"
Terimakasih RS Lavalette, pelayanannya sangat baik ramah dan memuaskan. Mbak bidannya baik-baik, semua dokternya yg merawat saya saat lahiran sangat baik. Semoga RS Lavalette semakin baik kedepannya. Aamiin ðŸ˜‡ðŸ™ðŸ»",D
410,"
Rumah Sakit yang konsisten mengusung green hospital dengan layanan yang ramah lingkungan, religius, bersih, fasilitas lengkap, nakes yang profesional dan administrasi transparan. Civitas hospitalia-nya juga ramah, bersahabat, dan sangat membantu. Kami sekeluarga dan juga keluarga besar mempercayakan layanan RS Lavalette untuk kebutuhan kesehatan keluarga. Terima kasih Lavalette...",D
411,"
Rumah sakit nya ramah . tidak bau obat. Lingkungan nya asri. Mantab",D
412,"
Sudah banyak perubahan, layanan sudah lebih modern, pelayanan sangat ramah dan tidak rumit, BPJS pun dilayani dengan baik, terima kasih",D
413,"
Hospital Garden Rumah Sakit Lavalette mmg asri dan nyaman banget, recomended banget buat semuanya yg membutuhkan pelayanan yg prima",D
414,"
Pelayanan dan tenaga medis tmbh profesional tata ruang n layout rumkit lbh nyaman dan memudahkan pasien.Sukses teruss buat Rumkit Lavalette.",D
415,"
Radioterapi nya keren",D
416,"
RS dg tempat sejuk n nyaman.... Brasa menikmati alam.....#greenhospital #ngalamkipa #rslavalette #fightcovid-19",D
417,"
Pelayanan ramah, cepat dan tidak ribet
One stop servicenya semoga semakin baik dan berkembang lagi ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘",D
418,"
Semoga Terus Maju Dan Berkembang untuk RS Lavalette",D
419,"
Siiiip",D
420,"
Haritage yg perlu dipertahan kan. Dengan kesejukan alami taman di dalam rumah sakit. ðŸ‘ŒðŸ»ðŸ‘ŒðŸ»ðŸ‘ŒðŸ»ðŸ‘ðŸ‘",D
421,"
Ruangan bersih dan nyaman",D
422,"
RS yg hijau & asri.... ComfortableðŸ‘",D
423,"
Sistem Tenaga kerjanya bagus dan berkualitas ðŸ’ªðŸ’ª",D
424,"
Rs lavalette tanggap dan peduli dgn covid 19 terutama vaksin ...kalau bisa klinik vaksin gotong royong d buka setiap hari untuk umum ...karna skrg masyarakat banyak yg cari. rs lavalette mantap joos..sangat peduli",D
425,"
Brasa sedang piknik, RS yg dipenuhi dengan taman dan bunga, membuat rasa nyaman, pelayanan tim medis dan paramedis profesional, ramah dan sangat memuaskan. Terima kasih RS Lavalette Malang",D
426,"
RS yg Asri dan Sejuk",D
427,"
RS di tengah kota malang yg sejuk dan asri...",D
428,"
pelayanan sangat memuaskan,semoga lebih baikðŸ˜â¤ï¸",D
429,"
RS dg suasana sangat asri krn banyak tanamanya membuat pasien serasa rekreasi ðŸ˜„",D
430,"
Pernah menjenguk Kyai saat beliau sakit dirawat di RS ini ... Alhamdulillah ... Petugasnya ramah , taman yang ditengah sangat nyaman untuk jagongan ðŸ‘ðŸ‘",D
431,"
terletak di tengah kota, banyak pohon2 besar bikin suasanya jadi syahdu.... top bgt deh",D
432,"
RS yang asri , banyak lingkungan terbuka hijau , sangat baik untuk recovery pasien . Semoga Semakin baik melayani . Trimakasih RS Lavalette ðŸ‘",D
433,"
Semoga RS Lavalette tetap mengutamakan dalam pelayanan",D
434,"
Pelayanan memuaskan.. Mantaap",D
435,"
Suasana yang asri bikin pasien cepet sembuh..... tengkiu RS Lavalette, Semakin Sukses & semakin maju",D
436,"
RS nya asri dan nyaman...dokternya bagus dan perawat nya tanggap....",D
437,"
Green hospital..bikin adem",D
438,"
Pelayanannya sangat bagus, tempat nya asri
The best hospital in Malang",D
439,"
Pelayanannya profesional ðŸ‘",D
440,"
Area RS cukup bersih dan asri, pelayanan petugas ramah dan para dokter cukup kompeten.",D
441,"
Layanan yang lengkap dan profesional, Sukses terus untuk civitas hospitalia RS. Lavalette malang",D
442,"
Pilihan utama",N
443,"
RS tengah kota yg asri, nyaman ... bikin adem di hati",D
444,"
Rumah sakit yg ramah pelayanan sangat baik",D
445,"
Insyaallah selalu memberikan pelayanan yg terbaik guna membuat customer puas â˜ºï¸",D
446,"
Jaya selalu Rumah Sakit Lavalette pelayanannya sangat bagus",D
447,"
Saya merasa sangat puas dengan pelayanan di rumah sakit lavalette. ðŸ‘ðŸ‘ðŸ‘",D
448,"
Fasilitas lengkap",D
449,"
Pelayanannya memuaskan. Terimakasih RS lavalette.",D
450,"
RS Lavalette nyaman, asri
Akreditasi Paripurna",D
451,"
Udara sejuk dan sehat, taman nya luas dan asri ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°..... Bener bener syahdu ðŸ˜",D
452,"
Pelayanannya superrr..perawatnya ramah2..Bnr2 rumah sakit pilihan.. the best pokoknya ðŸ‘ðŸ‘",D
453,"
Pelayanannya cepat dan perawatnya ramah",D
454,"
Pelayanan bagus.,masi tetep,
mempertahankan taman yg luas...yg di beberapa tempat lain...jarang ditemui..semoga semakin sukses kedepan nya",D
455,"
Rumah BUMN IHC dengan fasilitas lengkap dan dokter yang berpengalaman. Di jamin nyaman.",D
456,"
Kereeen",D
457,"
RS nya Asri dan nyaman",D
458,"
Jenis layanannya lengkap dan dokter spesialis nya jga banyak...",D
459,"
rumah sakit swasta di malang",N
460,"
Nyaman, dekat rumah",D
461,"
Bersih, Rindang dan Sejuk",D
462,"
tempatnya bersih",D
463,"
Suasana okay. Tapi banyak hantuuu",D
464,"
Bersih... Edukasi Cukup jelas dan dimengerti",D
465,"
Kak... Untuk PCR hasilnya satu harikah?! Mau test pcr yg one day service soalnya...

(Sempet ragu buat PCR disini gara2 liat review, eh pas td pagi dtg ternyata ramah2 dong. Mulai ambil nomer antrian, daftar, bayar, pegawai lab. Semuanya ramah dan baik)

Terima Kasih. â˜ºï¸",D
466,"
Gate Exit - Kita cuma jemput pasien, mobil lewat aja gak pake berhenti parkir, pas di gate keluar di mintai uang 2 ribu, gak ada karcis nya .... hadeehhh ... Lumayan sedikit retribusi bisa buat ngopi ya ....",TD
467,"
Pelayanan tidak ramah",TD
