no,ulasan,GT
301,"
Sangat memuaskan pelayanannya terus tingkatkan dan Sukses trus Gbu",D
302,"
Pelayanan sangat buruk, khususnya SECURITY apalagi dalam kondisi urgent",TD
303,"
Antri nya begitu banyak",N
304,"
Diawali dari tempat parkir yg semrawut.Perawat perawat senior yg ketus tdk respek kepada pasien dan keluarganya.Administrasi yg lambat dan tdk konsisten.Protokol Kesehatan sudah baik,hanya petugas Satpam hrs lebih teliti dlm menyaring Prokes.Sebaiknya utamakan Kesehatan Publik dahulu.Fasilitas tempat duduk banyak yg tidak baik dan kotor.",TD
305,"
Apa ada loker lulusan SMA?",N
306,"
Dimana mendapatkan Vaksin Nusantara ya ?",N
307,"
Mohon maaf sebelumnya. Apakah ketika setelah periksa di poli tht klinik neurologi untuk nunggu hasilnya harus nunggu sampai 3 jam? Sedangkan yang diperiksa adalah anak kecil.",N
308,"
Nakes nakes ramah ramah. Yang sangat disayangkan petugas apotik loket 3 pasien JKN lantai bawah. galaknya minta ampun. Orang mohon informasi malah di gas. duh Gusti.",TD
309,"
Rumah tipe A di Malang",N
310,"
Semoga RSSA sukses selalu dalam melayani pasien",D
311,"
Rumah sakit yang sangat ramah dan bersih. Rumah sakit pendidikan sangat baik dalam merawat pasien karna akan sangat teliti dan pasien juga menjadi bertambah pintar karna banyak pengetahuan medis yang didapat ðŸ‘",D
312,"
Saya pernah mengantarkan keluarga saya yang mendapatkan rujukan dari RS tipe B ke RSSA beberapa waktu lalu, RSSA salah satu RS rujukan tipe A dimalang dimana sarana dan prasarananya lengkap. Memang pasien disana sangat banyak, tetapi saya sangat puas dalam pelayanannya. Terima kasih RSSA",D
313,"
Semoga RSSA tetap memberikan pelayanan yang terbaik dan menjadi RS Five Star",D
314,"
RSUD Dr. Saiful Anwar Malang adalah RS pendidikan yang letaknya strategis dan karyawannya yang ramah.",D
315,"
bagus rumah sakitnya, tempatnya bersih, TOP BANGET",D
316,"
Sukses terus RSSA",D
317,"
RSUD dr. Saiful Anwar adalah rumah sakit yang sangat baik dan dapat mendidik para dokter yang sangat berkualitas",D
318,"
terima kasih atas pelayanan yang diberikan.",D
319,"
Sempat tes kesehatan disini. Awal masuk satpam membantu mengarahkan dan membantu memilihkan nomor antrian. Pemeriksaannya lengkap. Rumah sakitnya besar. Protokol kesehatan juga selalu dijaga mulai dari skrining di depan, jaga jarak dan pemeriksaan suhu, jadi merasa tenang dan terjaga.",D
320,"
dokter dan direksi berpengalaman dan tanggap",D
321,"
RSSA senantiasa berusaha memberikan pelayanan terbaik, patient safety dan mutu pelayanan menjadi prioritas utama, semoga RSSA semakin jaya dan senantiasa dapat memberikan pelayanan prima",D
322,"
Fasilitas dilengkapi dengan peralatan canggih, pelayanan ramah, suasana nyaman",D
323,"
semuanya ramah2 dan fasilitasnya lengkap",D
324,"
RSSperalatan lengkap",D
325,"
Saya mendapatkan kesempatan untuk menjalani kegiatan P4R di FKUB-RSSA. Kami diterima dengan baik, acara penyerahannya berjalan lancar dan pegawai rumah sakit terutama pimpinan dan jajarannya profesional dan ramah. Pemateri kompeten dan sangat bersemangat.",D
326,"
Sangat luar biasa",D
327,"
Sedang mengikuti acara P4R yang diadakan oleh FKUB dan RSSA, acaranya menyenangkan, kami diajari untuk melakukan komunikasi efektif untuk bekal bekerja dikemudian hari. Acara tepat waktu dan pemateri sangat berkompeten.",D
328,"
Baik dan bagus dalam pelayanan",D
329,"
RSSA Tercinta, banyak ilmu yang di dapat. Semoga pasien pasien di angkat penyakitnya dan di berikan kesembuhan.",D
330,"
Pelayanan memuaskan, koass, dokter PPDS dan Perawat ramah ramah. Good Job",D
