no,ulasan,GT
1267,"
Sekolahane arek arek",N
1268,"
Smk negri 2 kota malang",N
1269,"
Alhamdulillah..anak saya selesai wisuda langsung bekerja di cafe di malang..sekarang sedang bekerja di restoran ternama di jakarta.. sukses dan berkah selalu SMK 2 Malang",D
1270,"
Tempat saya mengabdi selama 10 tahun terkhir ini...alhamdulillah semoga semakin jaya..amiinn",D
1271,"
Sekolah yang membawa anakku bisa kuiah di Negeri Cina, semoga ada yang lagi yang mengikuti jejaknya",D
1272,"
Sangat banyak ilmu yang saya dapatkan di SMKN 2 malang",D
1273,"
SMKN semakin Jaya",D
1274,"
Sekolah kejuruan yang luar biasa, lokasinya sangat strategis dan mudah dijangkau",D
1275,"
Bersih asri",D
1276,"
Dahulu nama nya SMPS ( Sekolah Menengah Pekerjaan Sosial ) dan disebelah timurnya adalah SMA Proyek Perintis Sekolah Pembangunan ( PPSP ) IKIP yang sekarang menjadi SMA Negeri 8",N
1277,"
Apakah hari ini sekolah smkn 2 buka",N
1278,"
Alumni Smk 2 th 2013",N
1279,"
Tempat utk mengabdi
Tempat utk menimbah ilmu",D
1280,"
Bisakah dari luar jawa mendaftar
Jadi siswa didik",N
1281,"
Jujur, saya banyak pengalaman dari sekolah ini. Sy lulusan 2015 jurusan AP. dulu OJTnya sampai ke malaysia sama santika... banyak banget pokoknya pengalaman yang di dapat, baik kerja ataupun teori produktifnya. Ilmunya bener bener kepake sampai sekarang... disaat saya bekerja sebagai hoteliet sampai akhirnya saya buka bisnis sendiri ðŸ™ sukses selalu ðŸ¤™",D
1282,"
Assalamualaikum saya mau tanya, apakah SMK 2 malang mempunyai syarat khusus seperti minimal tinggi badan untuk masuk jurusan?",N
1283,"
Sekolahan yang bagus",D
1284,"
Berapaya harganya",N
1285,"
Yang pasti disini ada banyak macam jurusan ya ada perhotelan, keperawatan, teknik komputer dan jaringan,perawat sosial,usaha perjalanan wisata dan jasa boga. Dan disini juga ketat sekali dengan peraturan tapi dengan hal ini bisa menjadikan murid"" SMK 2 disiplin.",D
1286,"
Assalamualaikum Saya mau tanya
Untuk smkn 2 malang ini apa ada jurusan farmasi/ apoteker
Terimakasih",N
1287,"
SMKN 2 Malang tempat belajarnya sangat mendukung dan fasilitas memadai untuk sekolah kejuruan dan lokasi yg sangat strategis di lingkungannya ...",D
1288,"
Bagus, SMK yang di siplin dan siswa siswi juga penurut",D
1289,"
anak saya sekolah di smk 2 malang",N
1290,"
Pendaftaran 2021 kapan dibuka?",N
1291,"
Salah satu SMK di kota malang yg menghasilkan lulusan terbaik dibidang",D
1292,"
SMK dgn konsentrasi bbrapa ilmu,antara lain Jasa Boga,Perhotelan,Travel,Computer dll,dgn ruang belajar yg lengkap n suasana belajar yg kondusif.....Recommended untuk yg berniat mencari bekal ilmu untuk bekerja maupun melanjutkan kuliah",D
1293,"
Banyak cerita suka maupun duka samupahitaðŸ’›",D
1294,"
Bagus dan berkualitas. Makanan di cafenya enak.",D
1295,"
Secolah mantan",N
1296,"
Tonggo",N
1297,"
Sekolahku dulu ðŸ˜‚ðŸ˜‚",N
1298,"
Assalamualaikum,,, Saya mau bertanya :
1. Apakah ada Jurusan Keperawatan di SMKN 2 ini
2. Apakah siswa dari luar kota bisa masuk ke sini
3. Berapa Nilai Rata2 agar siswa bisa masuk ke SMKN 2 ini.

Karena Anak saya dr Surabaya dan ingin masuk sekolah keperawatan.

Sekian dan Terima kasih",N
1299,"
Tempat yg bagus utk menginap stlh diupgrade disana sini",D
1300,"
Salah satu smk favorit di kota Malang...",D
1301,"
Mantab lah...",D
1302,"
Ada hotel nya juga",N
1303,"
Apakah SMK N 2 malang ini menerapkan sistem zonasi?
Saya pingin sekali bisa sekolah disini!.",N
1304,"
Alkhamdulillah di edo hotel SMKN2 malang nyaman,enak dan murah",D
1305,"
Bagus",D
1306,"
SMKN2 Malang merupakan lembaga pendidikan yang konsen terhadap mutu pendidikan yang perlu mendapat perhatian dan penghargaan dari masyarakat maupun pemerintah",D
1307,"
Sekolah ku 10th yg lalu jurusan PSðŸ˜. Tambah sip ae saiki..ðŸ‘ðŸ¼",D
1308,"
menurut saya ini merupakan smk dimalang yg ada unsur modern-modern-selain itu smk ini serig sekali mengadakan kegiatan musik misalnya konser musik dan lomba-lomba",D
1309,"
Bagus sekali sekolah ini",D
