no,ulasan,GT
1402,"
Mantab.....",D
1403,"
Sekolah ini terletak di tengah perumahan tp tak kalah terkenal dengan yg berada di pinggir jalan. Prestasi akademik siswanya luar biasa, sehingga dijadikan tujuan utama siswa untuk bisa mengadu kepandaian lulusan SMP dari beberapa kota. Adab dan akhlak jg sangat ditekankan di sekolah ini, yg sangat pantas ditiru sekolah lainnya.",D
1404,"
Luar biasa",D
1405,"
Jajanannya lengkap bgt,, rame, tempat bersih.",D
1406,"
Tempat yang luas serta nyaman dan orang orang yang ramah",D
1407,"
PSHT lapangan belakang SMK telkom",D
1408,"
Semangat",D
1409,"
Bersih bagus dan terawat",D
1410,"
Semoga saja aku bisa masuk sekolah sini aamiin",D
1411,"
Sekolah yg bagus",D
1412,"
Sekolah IT terbaik, fasilitasnya bagus, sekolahnya luas, lebih mementingkan attitudenya, namun menurut saya rombel terlalu banyak. Satu kelas bisa mencapai 45 siswa",D
1413,"
Sekolah kereennn... SMK bisa.. SMK hebat..",D
1414,"
ok bersih dan bermutu",D
1415,"
SMK berbasis IT favorit di kota Malang",D
1416,"
SMA Swasta terbaik nasional..",D
1417,"
SMK IT yng terbaik di malang",D
1418,"
Baik",D
1419,"
Jalan nya sudah diaspal mulus",D
1420,"
SMK dg wawasan teknologi masa depan",D
1421,"
Survey sekolah",N
1422,"
Sekolahnya Anak2 IT ..semoga semakin sukses buat mokleters Dan berkah",D
1423,"
1.saya ingin bertanya apakah ada ekstrakulikuler
2.dan jika ada ekstrakulikuler ekstrakulikuler nya itu apa saja
3.apakah disini juga ada pelajaran olahraga atau hanya komputer saja",N
1424,"
Lagi lockdown",N
1425,"
Saya suka",D
1426,"
ini sekolah kesukaan saya walaupun saya ga pernah sekolah disini",D
1427,"
SMK ini sangat bagus dan berkualitas cocok untuk generasi kita",D
1428,"
Asri",D
1429,"
Sekolahnya bagus",D
1430,"
Bagus sekali, sekolah kebanggaan",D
1431,"
Untuk pertemuan,acara resepsi pernikahan,cukup luas untuk undangan 500 lebih,parkir jg cukup luas untuk mobil dan sepeda...",D
1432,"
Mantap, attitude is everything",D
1433,"
Terima kasih sudah menjadi bagian dari proses hidup saya. SMK Telkom Sandhy Putra Malang, Telkom School that has a valuable motto: Attitude is Everything.",D
1434,"
Di atas aula nya merupakan mesjid nya",N
1435,"
Kurang lebih 3-4km keluar tol pakis. Jadi sangat strategis",D
1436,"
Sekolahnya bagus.",D
1437,"
Sekolah kejuruan berbasis teknologi, RPL dan TKJ",N
1438,"
ruangan nya luas dan cukup bagus untuk kegiatan dan pettemuan pertemuan",D
1439,"
Disewakan untuk acara pernikahan san lainnya. Parkir luas, toilet bersih, akses mudab dijangkau",D
1440,"
Tempat menikah di perumahan sawojajar. Parkir tersedia lumayan luas jadi tidak perlu parkir di tepi jalan",D
1441,"
Sekolah yang maju,disiplin dan punya banyak link jaringan pekerjaan setelah lulus.pokoknya kalau sekolah disini tidak khawatir soal pekerjaan.is the best",D
1442,"
Siswa sangat rapi saat upacara.",D
