no,ulasan,GT
1632,"
Tempat yang nyaman",D
1633,"
Masa kecil yang menyenangkan, menonton bola di sini.",D
1634,"
rumputnya rusak krn baru selesai dipakai liga3",TD
1635,"
Kalau bisa di renov kembali dan d tambah tribunnya.
Karna ini aset kota malang yg jadi kebanggaan arek malang",TD
1636,"
Kegiatan mfc",N
1637,"
Stadion yang berada disebelah mall olympic garden, area stadion ini ketika hari Minggu dijadikan pasar pagi dengan penjual dan pembeli yang cukup ramai.",D
1638,"
Jos",D
1639,"
Prsja
31/4/2004",N
1640,"
Luar stadion bersih terawat",D
1641,"
Lumayan mulai rame lagi",D
1642,"
Mampir goes",N
1643,"
Keren",D
1644,"
Lapangan Gajayana itu luas ada parkiran mobil dan sepeda motor.",D
1645,"
Lumayan buat karate",N
1646,"
Stadion penuh kenangan.
Tertua se-Indonesia raya.",N
1647,"
Kesini gegara vaksinasi",N
1648,"
Kebanggaan orang Malang",D
1649,"
Kerenn",D
1650,"
tempat olahraga",N
1651,"
Jos",D
1652,"
Strategis dan fasilitas yg mendukung",D
1653,"
Relatif bersih,",D
1654,"
Stadion kebanggaan masyarakat kota Malang tempat pelaksanaan vaksinasi covid 19 dengan peserta diatas 25 ribu orang.",D
1655,"
Terlihat tak terawat selama ppkm ini",TD
1656,"
Menarik",D
1657,"
Bersih",D
1658,"
Tempat bersih",D
1659,"
Tempat nyaman parkiran puas",D
1660,"
Lagi vaksin pengaturan rapi",D
1661,"
Bagus sekali",D
1662,"
nyaman untuk kegiatan *""Serbu Vaksin""*..",D
1663,"
Tadion kecil tdk terawat trs untuk apa? Semoga pemkot atau donatur bs saling bersinergi memperbesar stadion ke banggaan kota malang",TD
1664,"
Bersih, nyaman, tidak berdesak desakan karena jalan antar kios nya lebar",D
1665,"
Stadion Gajahyana, salah satu stadion yang ada di kota malang,,dulunya home base kesebelasan Persema dan Arema, namun karena sekarang kegiatan kompetisi sepakbola masih diistirahatkan, maka dimanfaatkan oleh kegiatan seperti contoh penyuntikan vaksin covid 19 bagi masyarakat kali ini.",D
1666,"
Mantap",D
1667,"
Stadion bola",N
1668,"
Asri",D
1669,"
Tempat bersejarah dimana saya dan kakak dulu pernah nnton pertandingan persija vs persema",N
1670,"
Baik, bersih dan terawat",D
1671,"
Vaksin",N
1672,"
Bagus",D
1673,"
Stadion kebanggaan kota Malang.
Salah satu stadion tertua di Indonesia.
Tapi sayang sekali, luas area stadion menjadi berkurang karena pembangunan pusat perbelanjaan Malang Olimpyc Garden hotel.",TD
1674,"
Sayang tak terawat",TD
1675,"
Prosesnya tdk cepat",TD
1676,"
Ke sini gara2 ikut vaksin",N
1677,"
sipp",D
1678,"
Kesini buat vaksin doang hehe. Semoga pandemi cepat berlalu agar stadion ini bisa kembali digunakan.",D
1679,"
Mantab. Stadion bersejarah di kota Malang",D
1680,"
Kebersihan kurang terjaga",TD
1681,"
Stadion bersejarah di bumi Arema",N
1682,"
Sangat suka dengan stadion gajayana",D
1683,"
Hari minggu habis mengikuti vaksinasi hehe",N
1684,"
Luas bagus",D
1685,"
Hari ini 8/8/21 pelayanan vaksin sangat terorganisir terima kasih oemkot malang dan TNI AL fpr your servis",D
1686,"
Vaksin pertama tgl 08/08/2021 di sini",N
1687,"
Vaksin disini cepat dan nyaman",D
1688,"
Siiip",D
1689,"
Stadion satu-satunya di tengah kota Malang.
Pada tanggal 7-8 Agustus 2021 tempat dilaksanakanya serbuan Vaksin Sinovac untuk warga kota Malang.
Kegiatannya berjalan lancar dan taat prokes.
Sehat dan pulih kembali kota Malang dan Indonesia.
Terima masih kepada Pemkot Malang dan Koarmada II serta panitia penyelenggara.",D
1690,"
Habis Vaksin tadi pagi",N
1691,"
Gajayana Love story",D
1692,"
Alhamdulillah
Sukses Vaksinasi
Semoga sehat selalu",D
1693,"
Bagus dan besar",D
1694,"
Stadion GajayanaÂ adalahÂ stadionÂ olahraga yang tepat diÂ Kelurahan Kauman,Â Kecamatan Klojen,Â Kota Malang,Â Jawa Timur. Stadion Gajayana itu stadion tertua di Indonesia. Stadion ini mulai jadi pusat kota pada tahun 1924 hingga 1926. Lalu pada awal tahun 1990-an Gajayana renovasi, daya tampungnya menjadi Â± 17.000 . Pada tahun 2007 area samping Stadion Gajayana jadi MOG atauÂ Malang Olympic Garden, rampung 2008. Stadion Gajayana yang baru, daya tampung Â± 25.000 penonton. Tahun 2017 Stadion Gajayana menambahkan kapasitas penonton menjadi 30.000 semenjak adaÂ Malang United. Stadion ini markas utama klub sepak bola asalÂ Malang Raya, yaituÂ Arema Indonesia. Stadion ini juga mark",N
1695,"
Terletak ditempat yg strategis dan banyak pilihan olahraga",D
1696,"
Tempatnya asik bt berolah rada...dekat pusat perbelanjaan...pokok asik tempatnya",D
1697,"
Sejuk beesih",D
1698,"
Legend, bukan hanya tentang sepakbola :)",N
1699,"
Tertata rapi dan bersih..",D
1700,"
Stadion kebanggaan kota MALANG",D
