no,ulasan,GT
794,"
Naik kereta api pasti nyaman dan melihat permandangan",D
795,"
Lumayan bagus",D
796,"
Tempatnya nyaman, fasilitas bgs",D
797,"
Tempat luas, fasilitas komplit bisa langsung antigen di tempat dengan waktu yang tidak lama.",D
798,"
Stasiunnya oke.. Banyak gerai makanan tradisional... Apalagi kalo lahan parkirnya luas ðŸ˜ðŸ˜âœŒï¸âœŒï¸",D
799,"
Stasiun terbesar di malang raya. Menjadi penghubung malang dengan kota-kota di pulau jawa.",D
800,"
Wastafel nya hanya 1 yg bisa di gunain, jd makin bikin antri cuma buat cuci tangan.",TD
801,"
Bersih dan rapi",D
802,"
Mau tanya nih...anak dibawah 12 thn apa sudah boleh naik kereta api?
Apa juga harus antigen kalau perjalanan lokal.
Terimakasih",N
803,"
Stasiun Malang",N
804,"
Salah satu stasiun terbesar dan teramai di Jawa Timur. Selain KA Jarak Dekat, banyak sekali perjalanan KA Jarak Jauh ke arah barat dari stasiun ini, baik melalui Blitar ataupun Surabaya.

Di sisi timur stasiun ini, baru saja dibangun gedung baru untuk mengurangi kepadatan di gedung lama.

Di kompleks stasiun ini, juga terdapat sejumlah kantor unit pendukung, seperti depo sarana dan UPT Crew",N
805,"
Stasiun malang kota sekarang ada 2 pintu masuk/keluar yaitu bagian barat (lama) & timur (baru)

Pintu timur
+ baru
+ bersih
+ luas
+ ada eskalator
+ banyak stand jual makanan
+ toilet bersih
- agak muterin stasiun dulu

Pintu barat
+ lokasi lebih strategis
- bangunan lama, kurang terawat, kurang bersih, sempit
- pakai tangga lewat bawah tanah",D
806,"
Keren stasiunnya n pelayanannya,dari petugas sampai poter ðŸ‘",D
807,"
Sudah ada perbaikan,tempatnya bersih",D
808,"
Betsih,nyaman, pelayanannya cepat,tepat,dan ramah",D
809,"
Kangen naik kereta Suraba-Malang-Surabaya",N
810,"
Stasiun aman n nyaman",D
811,"
Tempatnya bersih petugasnya gercep, ramah dan kesan stasiun modern. Keretanya bersih. Bisa antigen pula di stasiun dengan harga 45 rb.",D
812,"
Bagus bersih petugas ramah",D
813,"
Ada escalator naik dan turun, ada juga tangga untuk turun, pintu keluar ada bagian barat dan bagian timur",D
814,"
Tempatnya bersih, tempat tes antigen, kios oleh2 dan ngopi juga ada...tempat parkir lumayan luas",D
815,"
Stasiunnya baguss, bersih, nyaman. Sekarang ada eskalatornya ðŸ¤£ðŸ¤£ dulu masih tangga lewat terowongan. Cuma tempat parkirnya yg masih sempit",D
816,"
Bangunan stasiun Malang sekarang ada dua. Yang lama digunakan untuk Kereta api lokal dan bangunan baru untuk kereta api jarak jauh.",N
817,"
kota Malang merupakan kota yang sangat nyaman..",D
818,"
Megah",D
819,"
Stasiun dengan vibes bandara",D
820,"
Pesona malang terbaik",D
821,"
Updatenya makin bagus karena tempat baru aja di renovasi di bangunan yg baru",D
822,"
Eksotik dengan ragam budaya kota malang",D
823,"
Nyaman disini ðŸ˜",D
824,"
Perbaikan yang semakin baik",D
825,"
Tempat yang baru terbuka dan lebih luas serta ruangtunggunya lebih banyak. Juga bisa rapid antigen di stasiun dengan jam buka 08.30-16.30",D
826,"
Gedung Stasiun Baru",D
827,"
Bersiiiih........top bngt",D
828,"
Setelah lebih 20 tahun, akhirnya menginjakkan kaki lagi ke stasiun yang menghadap alun-alun Tugu Malang ini. Makin cantik, indah, dan bersih",D
829,"
Stasiun Malang menurut saya bersih dan nyaman. Saat saya ke stasiunnya bulan Agustus ini, stasiun Malang relatif sepi.",D
830,"
Bagus",D
831,"
Ini sebelum pandemi, jadi bebas tanpa masker
Stasiun yang ramai naik turun penumpang, baik kereta lokal maupun kereta jarak jauh
Banyak penumpang, banyak toko-toko makanan dan oleh-oleh
Tempat yang luas dan banyak kursi-kursi tunggu, wc, tempat cas hp
Diluar stasiun banyak becak, dan banyak warung makan
Loket dan mesin cetak berada ditempat yang berbeda dengan tempat tunggu",D
832,"
Saya vaksin dosis 1 di stasiun , trus ini kok dapet jadwal vaksin dosis 2 di kkp kla 2 pribolinggo ya, masak saya harus ke probolinggo ?",N
833,"
Alamat sesuai lokasi dan mantap",D
834,"Stasiun Malang (ML), juga dikenal sebagaiÂ Stasiun Malang KotabaruÂ atauÂ Stasiun Kotabaru,[a]Â adalahÂ stasiun kereta apiÂ kelas besar tipe A yang terletak diÂ Kiduldalem, Klojen, Malang. Stasiun ini termasuk dalamÂ Daerah Operasi VIII SurabayaÂ dan merupakan stasiun kereta api utama diÂ Kota Malang. Letak stasiun ini tidak jauh dariÂ Alun-alun Bundar, kawasan SMA Tugu (SMA Negeri 1,Â SMA Negeri 3, danÂ SMA Negeri 4 Malang), Gedung DPRD Kota Malang, Balai Kota Malang, Pasar Klojen, dan Markas Satu -wikipedia",N
835,"
stasiun yang menjadi salah satu ikon kota malang yang berada tepat ditengah kota malang.",N
836,"
Gedung baru nya keren..",D
837,"
tempat yg bagus dan nyaman",D
838,"
Tempat transit ke segala jurusan
Tempatnya strategis dan mudah di jangkau dari segala jurusan untuk parkir inap semoga jadi perhatian pengelola untuk kenyamanan di berikan atap",D
839,"
Tempat menuju pulang dan tempat kembali datang.",N
840,"
Pintu masuk baru di Stasiun kotabaru...baju baru alhamdulillah",N
841,"
Stasiun dgn standard menuju stasiun modern",D
842,"
Historical station, semakin modern ,fasilitas lengkap.",D
843,"
Malang udaranya sejuk",D
844,"
Stasiun classic yg ada jalan underground dan new gate modern nya",D
845,"
Di Stasiun Malang yang baru mohon ada kebijakan bagi ojol untuk gratis parkir ya kali nganter penumpang keluar bayar 3000
ðŸ˜ŒðŸ˜ŒðŸ˜Œ",TD
846,"
Stasiun bersih,rapi, nyaman",D
847,"
Pintunya agak bikin bingung kalau baru nyoba",TD
848,"
Tempat nyaman, kereta tepat waktu",D
849,"
Enak buat nongkrong.",D
850,"
Semoga cepat teratur parkirnya",TD
851,"
Utk KA lokal apa pakai rapit test",N
