no,ulasan,GT
1,Olahraga murah meriah di sini,D
2,"bisa dibuat tempat melepas penat, rindang, sejuk, ada skatepark.",D
3,"Untuk tempatnya strategis sebenarnya, tapi sangat kurang perawatan menurut saya. Seandainya dirawat dengan baik pasti lebih oke. Skybikenya juga mangkrak.",TD
4,Tempatnya enak Banyak tempat teduhnya Tapi kurang terawat,TD
5,Tempat rekreasi yg nyaman,D
6,Buat Olah Raga dan Janjian Bertemu Momong anak juga oke,D
7,Sejukk ðŸƒ,D
8,T4 yg nyaman,D
9,asekkk..,D
10,Luar biasa.  Bagus. Rame. Taman ramah anak. Tapi sayang fasilitas tidak di perhatikan. Tolong lebih diperhatikan lagi.,TD
11,Bagus,D
12,Bersih,D
13,Multifungsi,D
14,Diperbaiki lagi kualitas fasilitas nya dan dirawat dengan baik,TD
15,Taman ini sangat bagus sebenarnya mudah-mudahan lebih bisa dirawat kembali seperti wahana-wahana yang sebelumnya ada dipertahankan dan dilakukan perawatan rutin supaya bisa jadi alternatif untuk warga rekreasi,D
16,Bagus nyaman,D
17,Mantabb,D
18,cukup menyenangkan,D
19,Mantaps keren,D
20,Tempat nya bagus sekali,D
21,Tempat rekreasi yg merakyat,D
22,Lumayan rame,D
23,"Lokasi taman sangat strategis di tengah tengah kota malang, tempatnya bersih, cocok untuk olahraga, ada alat olahraga gratis, banyak tempat olahraga seperti basket, sketboard, lapangan sepak bola dll & banyak penjual makanan di sekitar taman.",D
24,"taman yg bagus sebenernya, namun tidak dirawat dengan baik.",TD
25,"Senang,karena bisa membuat klrg reflesing skaligus berolah raga",D
26,"Nyaman untuk berolahraga dan bersantai, aman bagi anak-anak ðŸ‘ŒðŸ¼",D
27,Cocok utk olahraga kecil atau sekadar bersantai,D
28,Sport centre,N
29,"Kalo mau jajan, kesini aja, banyak jajanan:3",D
30,Sejuk meskipun ditengah kota. Cocok untuk jogging.,D
31,"Taman penuh kenangan, cocok buat nyantai ngadem tersedia juga toilet umum. Ada juga skate park dan lapangan basket",D
32,Tempat yang bagus dan nyaman,D
33,Tempatnya nyaman untuk olahraga dan piknik...,D
34,Tempat yang pas untuk sekedar bersantai maupun berolahraga bersama.,D
35,Taman bersih dan terawat.. ðŸ‘ðŸ‘ðŸ‘,D
36,"Enak, bersih, aku ketiduran di gazebo",D
37,Enak buat jogging,D
38,Nyaman untuk bersantai,D
39,"Setelah hampir 2 tahun gak ke sini, akhirnya ke sini lagi sm anak. Kemarin Sore Ke sini kondisinya rume banget.",N
40,"Meskipun rindang, Kerapian pohon dan rumputnya kurang",TD
41,Pass buat anda yg punya anak anak kecil. ðŸ˜ŠðŸ˜ŠðŸ˜„ðŸ˜„,D
42,"Tempatnya luas,nyaman,spot olahraga,bermain,dll",D
43,Tempat yg cocok tuk sekedar berolahraga santai,D
44,Tempat terbaik untuk olahraga gratis,D
45,"Kurang menarik aja akhir"" ini...
Banyak yg harusnya di perbaiki sebisa mungkin...
Dan harus bisa membuat orang senyaman nyaman mungkin...",TD
46,Sangat sederhana,N
47,tempat nya sejuk kalo sore,D
48,"Taman luas, sejuk, dan cukup bersih. Banyak tempat duduk. Tersedia toilet umum dan tempat olahraga. Yang perlu di tingkatkan adalah kebersihan taman dari kotoran kucing dan disediakan tempat untuk cuci tangan.",D
49,Joss,D
50,"Taman sejarah pertama kali Aku kenal sama cewek.
Ketemunya dan Nembaknya cewek di taman ini.
Keren banget",N
51,Pingin kesana lg bersama tercintakuðŸ˜˜ðŸ˜˜,N
52,"Taman Merjosari tempatnya dekat dengan pusat kota sehingga mudah diakses. Fasilitasnya lengkap, mulai dari track untuk pejalan kaki, area untuk olahraga, kebun, dan taman untuk anak-anak. Banyak kucing di taman. Tempatnya biasanya ramai di sore akhir pekan. Sekitar taman juga ada beberapa vendor makanan kaki lima.",D
53,"Tempat olah raga, rekreasi cukup nyaman untuk keluarga ataupun teman",D
54,Sejuk dan kuliner melimpah,D
55,indah dan asri.,D
56,"Ada gazebo, lapangan basket, dan beberapa tempat duduk",D
57,"Selain sebagai Ruang terbuka hijau,taman singha juga sebagai pusat njajan murah meriah.tinggal pilih saja....",D
58,"Taman Singha Merjosari menjadi salah satu taman yang sering saya kunjungi. Selain tempatnya yang dekat dengan kampus, tempat ini juga menyediakan beberapa fasilitas yang bisa kita gunakan secara free seperti tempat fitnes ala2, tempat berbatu untuk refleksi kaki, halaman cukup luas untuk main bulutangkis dkk, dan ada skybike nya juga. Di dekat taman juga ada masjid dan warung-warung makan. Paling suka kalo jogging dan kerja kelompok di sini.",D
59,Tempat ini tidak terawat banyak tempat yang sudah tusak,TD
60,Tempat tengah kota yang cocok untuk bersantai dan ber olahraga,D
61,"Tempat buat olaraga ,banyak fasitas seperti area basket ball, skateboard+Bmx",N
62,Tempat nya nyaman dan indah,D
63,Sering kesana buat latihan fisik. MantappðŸ‘,N
64,Sejuk... kebersihan lumayan,D
65,ok lah,N
66,lumayan,D
67,Joging di sini asyik jg...,D
68,Adem,D
69,"Sejuk, bersih",D
70,Lumayan,D
71,"Banyak yang jualan makanan di sekitar, taman nya bisa dibuat main skateboard",D
72,"Tempat joging yg kondusif, gak terlalu ramai.
Sayang track nya beberapa udah gk nyaman dilewatin. Sky bike nya juga udah gk beroperasi lagi ðŸ˜ž",TD
73,Enak enak mantap,D
74,"Fasilitas udah bagus lah walaupun sebagian rusak 
Kang parkir epriwer dan gaada karcisnya, sungguh menjengkelkan",TD
75,Cocok,N
76,"Perawatan nya kurang, tempat santai/pendopo nya banyak semurnya harap di kasih obat semut biar ilang semutnya trimakasih",TD
77,"Tempat olahraga keluarga yang nyaman
Tempat kumpul - kumpul yang asri
Tersedia PKL dengan bermacam menu",D
78,"bersih, sejuk, cocok buat keluarga",D
79,"Seru, rindang, nyaman buat olahraga.. Baik sepakbola maupun jogging kecil-kecilan.. Ada wifi juga dan dekat dengan tukang jajan maupun warung makan.. Komplit",D
80,Tempat olahraga gratis keringetan,D
81,"Sarana refreshing gratis, murah meriah",D
82,Sangat memuaskan,D
83,Tempat tujuan berolahraga dan berwisata jajanan,D
84,Bagusss,D
85,Cara membuat kue bolu,N
86,Bagud,D
