no,ulasan,GT
701,"
Ramah dan cepat pelayanannya",D
702,"
Sudah banyak perubahan, tampak lebih rapi dan bersih",D
703,"
Gak ada yg berubah dari 20 tahun yg lalu",TD
704,"
lumayan pusing jg awal"" nyari loketðŸ¤­",TD
705,"
bersih dan luas",D
706,"
Mantapp",D
707,"
memerlukan perawatan, ada banyak potensi keuangan yang bisa didapat",TD
708,"
Toiletnya benar2 tidak layak",TD
709,"
Nyaman",D
710,"
Lebih waspada terhadap barang bawaan",N
711,"
Terlihat kurang terawat",TD
712,"
Bagus",D
713,"
Terminal besar dan luas fasilitas perlu ditata lagi dan ditambah seperti ruang tunggu penumbang dengan berpendingin ac u/kenyamanan dan tenaga keamanan, disbun dan satpol PP senantiasa standby di lokasi",TD
714,"
Bagaimana ya, namanya terminal. Calo banyak, tempat tunggu remang2, tidak ada papan informasi trayek apapun",TD
715,"
Bagus",D
716,"
Parkir motornya nyaman. Bisnya lengkap.",D
717,"
membingungkan bagi yg pertama kali memakai moda bis dan masuk terminal ini...penumpang dibikin mbulet alurnya",TD
718,"
.mulai bersih",D
719,"
sepi",TD
720,"
Terminal rujukan jika mau pulkam",D
721,"
Oke",D
722,"
terminal yang ada di kota malang
bis ada jurusan antar kota dalam.propinsi
bis ada jurusan antar kota antar propinsi",N
723,"
Sepi tapi bersih, 24 jam",D
724,"
Public area yang luas, tempatnya lumayan bersih dan staff sangat membantu menginformasikan keberangkatan bus yang kita tuju. Toilet nya juga bersih dan terjaga dengan baik. Two thumbs up !",D
725,"
ok bolehlah Terminal Arjosari Malang. Sejauh ini masih bagus daripada Terminal di Kota lainnya",D
726,"
Bagus",D
727,"
Cukup bersih ... Orang orangnya cukup ramah,.banyak yang menawarkan taksi tetapi tidak memaksa.
Utk petugas tiketnya jg cukup baik dan ramah",D
728,"
Terminal induk kota Malang",N
729,"
Tempat nya ramai",D
730,"
Sepi...",N
731,"
Beberapa hari ini bolak balik sby-malang ada keperluan mendesak jd sering ke arjosari",N
732,"
Banyak pilihan rute bus antar daerah dan antar provinsi dan antar pulau",N
733,"
Terminal skg makin sepi,banyak kios yg tutup.",TD
734,"
seperti terminal pada umumnya,",N
735,"
Terminal antar kota dan antar provinsi yg ada di Malang",N
736,"
Ramai...",D
737,"
Keren...",D
738,"
Mulai ramai",D
739,"
Antrian bis lama",TD
740,"
Banyak toko oleh2 bisa sekalian belanja",D
741,"
Mencari nafkah",N
742,"
Perlu ditingkatkan kualitas kebersihan dan pelayanan serta keamanan di terminal Arjosari. Terimakasih",TD
743,"
Bersih,nyaman",D
744,"
Beberapa hari lalu sy berkunjung di sekitar terminal arjosari,tepatnya jl.panji....untuk mengantar sepeda ini",N
745,"
Terminal yang selalu ramai..
Lokasi parkir sangat luas, toilet lumayan bersih..
tersedia fasilitas beribadah..
pengaturan jurusan bis ckup mudah",D
