no,ulasan,entity,GT,split
1,Olahraga murah meriah di sini,Taman Merjosari,D,Taman Merjosari_D
2,"bisa dibuat tempat melepas penat, rindang, sejuk, ada skatepark.",Taman Merjosari,D,Taman Merjosari_D
3,"Untuk tempatnya strategis sebenarnya, tapi sangat kurang perawatan menurut saya. Seandainya dirawat dengan baik pasti lebih oke. Skybikenya juga mangkrak.",Taman Merjosari,TD,Taman Merjosari_TD
4,Tempatnya enak Banyak tempat teduhnya Tapi kurang terawat,Taman Merjosari,TD,Taman Merjosari_TD
5,Tempat rekreasi yg nyaman,Taman Merjosari,D,Taman Merjosari_D
6,Buat Olah Raga dan Janjian Bertemu Momong anak juga oke,Taman Merjosari,D,Taman Merjosari_D
7,Sejukk ðŸƒ,Taman Merjosari,D,Taman Merjosari_D
8,T4 yg nyaman,Taman Merjosari,D,Taman Merjosari_D
9,asekkk..,Taman Merjosari,D,Taman Merjosari_D
10,Luar biasa.  Bagus. Rame. Taman ramah anak. Tapi sayang fasilitas tidak di perhatikan. Tolong lebih diperhatikan lagi.,Taman Merjosari,TD,Taman Merjosari_TD
12,Bersih,Taman Merjosari,D,Taman Merjosari_D
13,Multifungsi,Taman Merjosari,D,Taman Merjosari_D
14,Diperbaiki lagi kualitas fasilitas nya dan dirawat dengan baik,Taman Merjosari,TD,Taman Merjosari_TD
15,Taman ini sangat bagus sebenarnya mudah-mudahan lebih bisa dirawat kembali seperti wahana-wahana yang sebelumnya ada dipertahankan dan dilakukan perawatan rutin supaya bisa jadi alternatif untuk warga rekreasi,Taman Merjosari,D,Taman Merjosari_D
16,Bagus nyaman,Taman Merjosari,D,Taman Merjosari_D
17,Mantabb,Taman Merjosari,D,Taman Merjosari_D
18,cukup menyenangkan,Taman Merjosari,D,Taman Merjosari_D
20,Tempat nya bagus sekali,Taman Merjosari,D,Taman Merjosari_D
21,Tempat rekreasi yg merakyat,Taman Merjosari,D,Taman Merjosari_D
23,"Lokasi taman sangat strategis di tengah tengah kota malang, tempatnya bersih, cocok untuk olahraga, ada alat olahraga gratis, banyak tempat olahraga seperti basket, sketboard, lapangan sepak bola dll & banyak penjual makanan di sekitar taman.",Taman Merjosari,D,Taman Merjosari_D
24,"taman yg bagus sebenernya, namun tidak dirawat dengan baik.",Taman Merjosari,TD,Taman Merjosari_TD
25,"Senang,karena bisa membuat klrg reflesing skaligus berolah raga",Taman Merjosari,D,Taman Merjosari_D
26,"Nyaman untuk berolahraga dan bersantai, aman bagi anak-anak ðŸ‘ŒðŸ¼",Taman Merjosari,D,Taman Merjosari_D
28,Sport centre,Taman Merjosari,N,Taman Merjosari_N
29,"Kalo mau jajan, kesini aja, banyak jajanan:3",Taman Merjosari,D,Taman Merjosari_D
32,Tempat yang bagus dan nyaman,Taman Merjosari,D,Taman Merjosari_D
33,Tempatnya nyaman untuk olahraga dan piknik...,Taman Merjosari,D,Taman Merjosari_D
34,Tempat yang pas untuk sekedar bersantai maupun berolahraga bersama.,Taman Merjosari,D,Taman Merjosari_D
35,Taman bersih dan terawat.. ðŸ‘ðŸ‘ðŸ‘,Taman Merjosari,D,Taman Merjosari_D
36,"Enak, bersih, aku ketiduran di gazebo",Taman Merjosari,D,Taman Merjosari_D
37,Enak buat jogging,Taman Merjosari,D,Taman Merjosari_D
39,"Setelah hampir 2 tahun gak ke sini, akhirnya ke sini lagi sm anak. Kemarin Sore Ke sini kondisinya rume banget.",Taman Merjosari,N,Taman Merjosari_N
40,"Meskipun rindang, Kerapian pohon dan rumputnya kurang",Taman Merjosari,TD,Taman Merjosari_TD
42,"Tempatnya luas,nyaman,spot olahraga,bermain,dll",Taman Merjosari,D,Taman Merjosari_D
43,Tempat yg cocok tuk sekedar berolahraga santai,Taman Merjosari,D,Taman Merjosari_D
