no,ulasan,entity,GT
1,Olahraga murah meriah di sini,Taman Merjosari,D
2,"bisa dibuat tempat melepas penat, rindang, sejuk, ada skatepark.",Taman Merjosari,D
3,"Untuk tempatnya strategis sebenarnya, tapi sangat kurang perawatan menurut saya. Seandainya dirawat dengan baik pasti lebih oke. Skybikenya juga mangkrak.",Taman Merjosari,TD
4,Tempatnya enak Banyak tempat teduhnya Tapi kurang terawat,Taman Merjosari,TD
5,Tempat rekreasi yg nyaman,Taman Merjosari,D
6,Buat Olah Raga dan Janjian Bertemu Momong anak juga oke,Taman Merjosari,D
7,Sejukk ðŸƒ,Taman Merjosari,D
8,T4 yg nyaman,Taman Merjosari,D
9,asekkk..,Taman Merjosari,D
10,Luar biasa.  Bagus. Rame. Taman ramah anak. Tapi sayang fasilitas tidak di perhatikan. Tolong lebih diperhatikan lagi.,Taman Merjosari,TD
11,Bagus,Taman Merjosari,D
12,Bersih,Taman Merjosari,D
13,Multifungsi,Taman Merjosari,D
14,Diperbaiki lagi kualitas fasilitas nya dan dirawat dengan baik,Taman Merjosari,TD
15,Taman ini sangat bagus sebenarnya mudah-mudahan lebih bisa dirawat kembali seperti wahana-wahana yang sebelumnya ada dipertahankan dan dilakukan perawatan rutin supaya bisa jadi alternatif untuk warga rekreasi,Taman Merjosari,D
16,Bagus nyaman,Taman Merjosari,D
17,Mantabb,Taman Merjosari,D
18,cukup menyenangkan,Taman Merjosari,D
19,Mantaps keren,Taman Merjosari,D
20,Tempat nya bagus sekali,Taman Merjosari,D
21,Tempat rekreasi yg merakyat,Taman Merjosari,D
22,Lumayan rame,Taman Merjosari,D
23,"Lokasi taman sangat strategis di tengah tengah kota malang, tempatnya bersih, cocok untuk olahraga, ada alat olahraga gratis, banyak tempat olahraga seperti basket, sketboard, lapangan sepak bola dll & banyak penjual makanan di sekitar taman.",Taman Merjosari,D
24,"taman yg bagus sebenernya, namun tidak dirawat dengan baik.",Taman Merjosari,TD
25,"Senang,karena bisa membuat klrg reflesing skaligus berolah raga",Taman Merjosari,D
26,"Nyaman untuk berolahraga dan bersantai, aman bagi anak-anak ðŸ‘ŒðŸ¼",Taman Merjosari,D
27,Cocok utk olahraga kecil atau sekadar bersantai,Taman Merjosari,D
28,Sport centre,Taman Merjosari,N
29,"Kalo mau jajan, kesini aja, banyak jajanan:3",Taman Merjosari,D
30,Sejuk meskipun ditengah kota. Cocok untuk jogging.,Taman Merjosari,D
31,"Taman penuh kenangan, cocok buat nyantai ngadem tersedia juga toilet umum. Ada juga skate park dan lapangan basket",Taman Merjosari,D
32,Tempat yang bagus dan nyaman,Taman Merjosari,D
33,Tempatnya nyaman untuk olahraga dan piknik...,Taman Merjosari,D
34,Tempat yang pas untuk sekedar bersantai maupun berolahraga bersama.,Taman Merjosari,D
35,Taman bersih dan terawat.. ðŸ‘ðŸ‘ðŸ‘,Taman Merjosari,D
36,"Enak, bersih, aku ketiduran di gazebo",Taman Merjosari,D
37,Enak buat jogging,Taman Merjosari,D
38,Nyaman untuk bersantai,Taman Merjosari,D
39,"Setelah hampir 2 tahun gak ke sini, akhirnya ke sini lagi sm anak. Kemarin Sore Ke sini kondisinya rume banget.",Taman Merjosari,N
40,"Meskipun rindang, Kerapian pohon dan rumputnya kurang",Taman Merjosari,TD
41,Pass buat anda yg punya anak anak kecil. ðŸ˜ŠðŸ˜ŠðŸ˜„ðŸ˜„,Taman Merjosari,D
42,"Tempatnya luas,nyaman,spot olahraga,bermain,dll",Taman Merjosari,D
43,Tempat yg cocok tuk sekedar berolahraga santai,Taman Merjosari,D
44,Tempat terbaik untuk olahraga gratis,Taman Merjosari,D
45,"Kurang menarik aja akhir"" ini...
Banyak yg harusnya di perbaiki sebisa mungkin...
Dan harus bisa membuat orang senyaman nyaman mungkin...",Taman Merjosari,TD
46,Sangat sederhana,Taman Merjosari,N
47,tempat nya sejuk kalo sore,Taman Merjosari,D
48,"Taman luas, sejuk, dan cukup bersih. Banyak tempat duduk. Tersedia toilet umum dan tempat olahraga. Yang perlu di tingkatkan adalah kebersihan taman dari kotoran kucing dan disediakan tempat untuk cuci tangan.",Taman Merjosari,D
49,Joss,Taman Merjosari,D
